Book Name,Price,Rating,Link
"Leatherstocking Tales Collection, Volume I: The Pioneers, The Last of the Mohicans, The Prairie",$27.99,,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0843901129LQ15XY394E&url=%2FLeatherstocking-Tales-Collection-Pioneers-Mohicans%2Fdp%2FB09GJV9JYJ%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Danthology%2Bbooks%26qid%3D1639629605%26sr%3D8-1-spons%26psc%3D1&qualifier=1639629605&id=57715535235174&widgetName=sp_atf
Fresh Ink: An Anthology,$9.99,4.6 out of 5 stars,https://www.amazon.com/Fresh-Ink-Anthology-Lamar-Giles/dp/1524766313/ref=sr_1_2?keywords=anthology+books&qid=1639629605&sr=8-2
The Jeri Howard Anthology: Books 1-9 (The Jeri Howard Anthology Series Book 3),$0.00,4.5 out of 5 stars,https://www.amazon.com/Jeri-Howard-Anthology-Books-1-9-ebook/dp/B07CSTTVGY/ref=sr_1_3?keywords=anthology+books&qid=1639629605&sr=8-3
The Norton Anthology of World Literature,$54.39,4.5 out of 5 stars,https://www.amazon.com/Norton-Anthology-Literature-Fourth-Package/dp/0393265919/ref=sr_1_4?keywords=anthology+books&qid=1639629605&sr=8-4
The Botanist's Sticker Anthology,$13.99,4.8 out of 5 stars,https://www.amazon.com/Botanists-Sticker-Anthology-DK/dp/0744036720/ref=sr_1_5?keywords=anthology+books&qid=1639629605&sr=8-5
The Norton Anthology of World Literature,$22.33,4.5 out of 5 stars,https://www.amazon.com/Norton-Anthology-Literature-Shorter-Fourth/dp/0393602877/ref=sr_1_6?keywords=anthology+books&qid=1639629605&sr=8-6
"Anthology of American Literature, Volume I (10th Edition)",$19.31,4.0 out of 5 stars,https://www.amazon.com/Anthology-American-Literature-I-10th/dp/0205779395/ref=sr_1_7?keywords=anthology+books&qid=1639629605&sr=8-7
The Norton Anthology of World Literature,$21.16,4.5 out of 5 stars,https://www.amazon.com/Norton-Anthology-Literature-Fourth-Package/dp/0393265900/ref=sr_1_8?keywords=anthology+books&qid=1639629605&sr=8-8
"The Norton Anthology of English Literature, The Major Authors",$35.99,4.5 out of 5 stars,https://www.amazon.com/Anthology-English-Literature-Authors-Package/dp/0393603113/ref=sr_1_9?keywords=anthology+books&qid=1639629605&sr=8-9
Tales of Courage and Kindness,$13.92,4.8 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A093195611E993E5E868I&url=%2FTales-Courage-Kindness-Disney-Books%2Fdp%2F1368077110%2Fref%3Dsr_1_10_sspa%3Fkeywords%3Danthology%2Bbooks%26qid%3D1639629605%26sr%3D8-10-spons%26psc%3D1&qualifier=1639629605&id=57715535235174&widgetName=sp_mtf
The Norton Anthology of American Literature,$34.54,4.5 out of 5 stars,https://www.amazon.com/Norton-Anthology-American-Literature-Shorter/dp/039326453X/ref=sr_1_11?keywords=anthology+books&qid=1639629605&sr=8-11
The Norton Anthology of English Literature,$64.99,4.6 out of 5 stars,https://www.amazon.com/Norton-Anthology-English-Literature-Package/dp/0393603121/ref=sr_1_12?keywords=anthology+books&qid=1639629605&sr=8-12
"The Norton Anthology of English Literature, The Major Authors",$19.97,4.5 out of 5 stars,https://www.amazon.com/Norton-Anthology-English-Literature-Authors/dp/0393603083/ref=sr_1_13?keywords=anthology+books&qid=1639629605&sr=8-13
The Diné Reader: An Anthology of Navajo Literature,$24.95,4.7 out of 5 stars,https://www.amazon.com/Din%C3%A9-Reader-Anthology-Navajo-Literature/dp/0816540993/ref=sr_1_14?keywords=anthology+books&qid=1639629605&sr=8-14
