Book Name,Price,Rating,Link
Architects' Houses (30 inventive and imaginative homes architects designed and live in),$32.70,4.6 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09617132ZDNSM0ZSZZO2&url=%2FArchitects-Houses-Michael-Webb%2Fdp%2F1616897023%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Darchitecture%2Bbooks%26qid%3D1639629607%26sr%3D8-1-spons%26psc%3D1&qualifier=1639629607&id=5400043326792635&widgetName=sp_atf
Architectural Digest at 100: A Century of Style,$88.25,4.8 out of 5 stars,https://www.amazon.com/Architectural-Digest-100-Century-Style/dp/1419733338/ref=sr_1_2?keywords=architecture+books&qid=1639629607&sr=8-2
Contemporary Japanese Architecture (Multilingual Edition),$59.74,5.0 out of 5 stars,https://www.amazon.com/Contemporary-Japanese-Architecture-Philip-Jodidio/dp/3836575108/ref=sr_1_3?keywords=architecture+books&qid=1639629607&sr=8-3
Architecture for Teens: A Beginner's Book for Aspiring Architects,$12.72,4.6 out of 5 stars,https://www.amazon.com/Architecture-Teens-Beginners-Aspiring-Architects/dp/1647396727/ref=sr_1_4?keywords=architecture+books&qid=1639629607&sr=8-4
Archidoodle: The Architect's Activity Book,$12.26,4.6 out of 5 stars,https://www.amazon.com/Archidoodle-Architects-Activity-Steve-Bowkett/dp/1780673213/ref=sr_1_5?keywords=architecture+books&qid=1639629607&sr=8-5
The Iconic American House: Architectural Masterworks Since 1900,$33.68,4.6 out of 5 stars,https://www.amazon.com/Iconic-American-House-Architectural-Masterworks/dp/050002295X/ref=sr_1_6?keywords=architecture+books&qid=1639629607&sr=8-6
The 99% Invisible City: A Field Guide to the Hidden World of Everyday Design,$15.00,4.8 out of 5 stars,https://www.amazon.com/99-Invisible-City-Hidden-Everyday/dp/0358126606/ref=sr_1_7?keywords=architecture+books&qid=1639629607&sr=8-7
An American Renaissance: Beaux-Arts Architecture in New York City,$98.46,5.0 out of 5 stars,https://www.amazon.com/American-Renaissance-Beaux-Arts-Architecture-York/dp/1864706813/ref=sr_1_8?keywords=architecture+books&qid=1639629607&sr=8-8
Beachside: Windsor Architecture and Design,$47.95,5.0 out of 5 stars,https://www.amazon.com/Beachside-Windsor-Architecture-Hadley-Keller/dp/0865654034/ref=sr_1_9?keywords=architecture+books&qid=1639629607&sr=8-9
Two Hundred and Fifty Things an Architect Should Know,$19.95,3.3 out of 5 stars,https://www.amazon.com/Hundred-Fifty-Things-Architect-Should/dp/1648960804/ref=sr_1_10?keywords=architecture+books&qid=1639629607&sr=8-10
A Field Guide to American Houses (Revised): The Definitive Guide to Identifying and Understanding America's Domestic Architecture,$23.30,4.8 out of 5 stars,https://www.amazon.com/Field-Guide-American-Houses-Revised/dp/0375710825/ref=sr_1_11?keywords=architecture+books&qid=1639629607&sr=8-11
Architecture: A Visual History,$14.98,4.8 out of 5 stars,https://www.amazon.com/Architecture-Visual-History-Jonathan-Glancey/dp/1465464689/ref=sr_1_12?keywords=architecture+books&qid=1639629607&sr=8-12
The Architecture Reference & Specification Book updated & revised: Everything Architects Need to Know Every Day,$18.52,4.7 out of 5 stars,https://www.amazon.com/Architecture-Reference-Specification-updated-revised/dp/163159379X/ref=sr_1_13?keywords=architecture+books&qid=1639629607&sr=8-13
