Book Name,Price,Rating,Link
Artists: Their Lives and Works,$36.00,4.8 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0135134PI9PFOUAXIQM&url=%2FArtists-Their-Lives-Works-DK%2Fdp%2F1465463283%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dart%2Bbooks%26qid%3D1639629606%26sr%3D8-1-spons%26psc%3D1&qualifier=1639629606&id=1949542074048701&widgetName=sp_atf
Milton Avery,$42.44,5.0 out of 5 stars,https://www.amazon.com/Milton-Avery/dp/1912520435/ref=sr_1_2?keywords=art+books&qid=1639629606&sr=8-2
One-Year Art Journal: Daily Prompts to Spark Your Creativity,$15.29,4.6 out of 5 stars,https://www.amazon.com/One-Year-Art-Journal-Prompts-Creativity/dp/1638075018/ref=sr_1_3?keywords=art+books&qid=1639629606&sr=8-3
Art That Changed the World: Transformative Art Movements and the Paintings That Inspired Them,$36.00,4.8 out of 5 stars,https://www.amazon.com/Art-That-Changed-World-Transformative/dp/1465414355/ref=sr_1_4?keywords=art+books&qid=1639629606&sr=8-4
The Art Book (Revised and Expanded 2020 Edition),$45.00,4.7 out of 5 stars,https://www.amazon.com/Art-Book-Revised-Expanded-2020/dp/1838661344/ref=sr_1_5?keywords=art+books&qid=1639629606&sr=8-5
"Imagining Landscapes: Paintings by Helen Frankenthaler, 1952–1976",$62.70,5.0 out of 5 stars,https://www.amazon.com/Imagining-Landscapes-Paintings-Frankenthaler-1952-1976/dp/0847871134/ref=sr_1_6?keywords=art+books&qid=1639629606&sr=8-6
Daily Drawing Prompts: A Year of Sketchbook Inspiration,$13.35,4.1 out of 5 stars,https://www.amazon.com/Daily-Drawing-Prompts-Sketchbook-Inspiration/dp/1648764843/ref=sr_1_7?keywords=art+books&qid=1639629606&sr=8-7
"The Art of the National Parks (Fifty-Nine Parks): (National Parks Art Books, Books For Nature Lovers, National Parks Posters, The Art of the National Parks)",$28.36,4.8 out of 5 stars,https://www.amazon.com/Art-National-Parks-Fifty-Nine-Posters/dp/1647223709/ref=sr_1_8?keywords=art+books&qid=1639629606&sr=8-8
How to Draw Cool Stuff: A Drawing Guide for Teachers and Students,$13.99,4.7 out of 5 stars,https://www.amazon.com/How-Draw-Cool-Stuff-Teachers/dp/0615991424/ref=sr_1_9?keywords=art+books&qid=1639629606&sr=8-9
Van Gogh. The Complete Paintings,$39.53,4.9 out of 5 stars,https://www.amazon.com/Gogh-Complete-Paintings-Ingo-Walther/dp/3836572931/ref=sr_1_10?keywords=art+books&qid=1639629606&sr=8-10
365 Days of Art: A Creative Exercise for Every Day of the Year,$13.88,4.7 out of 5 stars,https://www.amazon.com/365-Days-Art-Creative-Exercise/dp/1784881112/ref=sr_1_11?keywords=art+books&qid=1639629606&sr=8-11
The Louvre: All the Paintings,$47.99,4.7 out of 5 stars,https://www.amazon.com/Louvre-All-Paintings-Erich-Lessing/dp/076247064X/ref=sr_1_12?keywords=art+books&qid=1639629606&sr=8-12
Beginner's Guide to Digital Painting in Procreate: How to Create Art on an iPad®,$24.49,4.6 out of 5 stars,https://www.amazon.com/Beginners-Guide-Digital-Painting-Procreate/dp/1912843145/ref=sr_1_13?keywords=art+books&qid=1639629606&sr=8-13
"EGOSONG 41 PCS Drawing Pencils & Drawing Supplies Kit, Including Sketch book, Graphite/Charcoal Pencils, Sketching Pencil Set for Adults, Professional Art Supplies for Artists and Beginners",$28.99,4.7 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A06284742M14GYLU1ZF70&url=%2FEGOSONG-Including-Sketching-Professional-Beginners%2Fdp%2FB094HBW8NB%2Fref%3Dsr_1_14_sspa%3Fkeywords%3Dart%2Bbooks%26qid%3D1639629606%26sr%3D8-14-spons%26psc%3D1&qualifier=1639629606&id=1949542074048701&widgetName=sp_mtf
Accidentally Wes Anderson,$17.59,4.9 out of 5 stars,https://www.amazon.com/Accidentally-Wes-Anderson-Wally-Koval/dp/0316492736/ref=sr_1_15?keywords=art+books&qid=1639629606&sr=8-15
"MoMA Now: Highlights from The Museum of Modern Art, New York",$47.22,4.9 out of 5 stars,https://www.amazon.com/MoMA-Now-Highlights-Museum-Modern/dp/1633451003/ref=sr_1_16?keywords=art+books&qid=1639629606&sr=8-16
"Essential Art Therapy Exercises: Effective Techniques to Manage Anxiety, Depression, and PTSD",$16.99,4.7 out of 5 stars,https://www.amazon.com/Essential-Art-Therapy-Exercises-Techniques/dp/1646111621/ref=sr_1_17?keywords=art+books&qid=1639629606&sr=8-17
Castlevania: The Art of the Animated Series,$28.80,4.9 out of 5 stars,https://www.amazon.com/Castlevania-Art-Animated-Frederator-Studios/dp/1506715702/ref=sr_1_18?keywords=art+books&qid=1639629606&sr=8-18
Artists: Their Lives and Works,$36.00,4.8 out of 5 stars,https://www.amazon.com/Artists-Their-Lives-Works-DK/dp/1465463283/ref=sr_1_19?keywords=art+books&qid=1639629606&sr=8-19
"The Art of Oz: Witches, Wizards, and Wonders Beyond the Yellow Brick Road",$28.13,5.0 out of 5 stars,https://www.amazon.com/Art-Oz-Witches-Wizards-UNIVERSE/dp/0789341018/ref=sr_1_20?keywords=art+books&qid=1639629606&sr=8-20
The Metropolitan Museum of Art: Masterpiece Paintings,$51.07,4.8 out of 5 stars,https://www.amazon.com/Metropolitan-Museum-Art-Masterpiece-Paintings/dp/0847846598/ref=sr_1_21?keywords=art+books&qid=1639629606&sr=8-21
Marvel's Loki: The Art of the Series,$50.00,,https://www.amazon.com/Marvels-Loki-Art-Marvel-Comics/dp/1302931946/ref=sr_1_22?keywords=art+books&qid=1639629606&sr=8-22
Spider-Man: Into the Spider-Verse -The Art of the Movie,$23.99,4.9 out of 5 stars,https://www.amazon.com/Spider-Man-Into-Spider-Verse-Movie/dp/1785659464/ref=sr_1_23?keywords=art+books&qid=1639629606&sr=8-23
Between The Pages - Book Lovers Quotes | Between The Pages of A Book Quote Art - Authentic Upcycled Dictionary Art Print - Home or Office Decor (D324),$11.99,4.8 out of 5 stars,https://www.amazon.com/Between-Pages-Authentic-Upcycled-Dictionary/dp/B08XY82CSG/ref=sr_1_24?keywords=art+books&qid=1639629606&sr=8-24
The Ultimate Art Museum,$39.95,5.0 out of 5 stars,https://www.amazon.com/Ultimate-Art-Museum-Ferren-Gipson/dp/1838663789/ref=sr_1_25?keywords=art+books&qid=1639629606&sr=8-25
The Art of NASA: The Illustrations That Sold the Missions,$31.50,4.9 out of 5 stars,https://www.amazon.com/Art-NASA-Illustrations-That-Missions/dp/0760368074/ref=sr_1_26?keywords=art+books&qid=1639629606&sr=8-26
Daily Drawing Prompts: A Year of Sketchbook Inspiration,$13.35,4.1 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0263121XG4C0Y5PQ2KJ&url=%2FDaily-Drawing-Prompts-Sketchbook-Inspiration%2Fdp%2F1648764843%2Fref%3Dsr_1_27_sspa%3Fkeywords%3Dart%2Bbooks%26qid%3D1639629606%26sr%3D8-27-spons%26psc%3D1&qualifier=1639629606&id=1949542074048701&widgetName=sp_mtf
"Koseibal 72 colored pencils kits with Drawing Sketch Book, Art Supplies Set for Artists Adults Teens Beginner Students and Packaging in Tinplate Gift Box",$26.90,,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A10190312IR3X85WK9R4Z&url=%2FKoseibal-Supplies-Beginner-Students-Packaging%2Fdp%2FB09HXVB9VD%2Fref%3Dsr_1_28_sspa%3Fkeywords%3Dart%2Bbooks%26qid%3D1639629606%26sr%3D8-28-spons%26psc%3D1&qualifier=1639629606&id=1949542074048701&widgetName=sp_mtf
"Learn Clip Studio Paint: A beginner's guide to creating compelling comics and manga art, 3rd Edition",$44.99,4.3 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A06108761O7LBDDOVQVXP&url=%2FLearn-Clip-Studio-Paint-compelling%2Fdp%2F180056497X%2Fref%3Dsr_1_29_sspa%3Fkeywords%3Dart%2Bbooks%26qid%3D1639629606%26sr%3D8-29-spons%26psc%3D1&qualifier=1639629606&id=1949542074048701&widgetName=sp_mtf
Kid A Mnesia: A Book of Radiohead Artwork,$49.50,5.0 out of 5 stars,https://www.amazon.com/Kid-Mnesia-Book-Radiohead-Artwork/dp/1838857370/ref=sr_1_30?keywords=art+books&qid=1639629606&sr=8-30
"The Landscape Painter's Workbook: Essential Studies in Shape, Composition, and Color (For Artists)",$26.99,5.0 out of 5 stars,https://www.amazon.com/Landscape-Painters-Workbook-Essential-Composition/dp/0760371350/ref=sr_1_31?keywords=art+books&qid=1639629606&sr=8-31
Disrupted Realism: Paintings for a Distracted World,$39.49,4.6 out of 5 stars,https://www.amazon.com/Disrupted-Realism-Paintings-Distracted-World/dp/0764358014/ref=sr_1_32?keywords=art+books&qid=1639629606&sr=8-32
Marvel's Wandavision: The Art Of The Series,$49.50,,https://www.amazon.com/Marvels-Wandavision-Art-Marvel-Comics/dp/1302931032/ref=sr_1_33?keywords=art+books&qid=1639629606&sr=8-33
Breath: The New Science of a Lost Art,$0.00,4.7 out of 5 stars,https://www.amazon.com/Breath-New-Science-Lost-Art/dp/B082FPZC4H/ref=sr_1_34?keywords=art+books&qid=1639629606&sr=8-34
The Arts: A Visual Encyclopedia,$21.99,4.8 out of 5 stars,https://www.amazon.com/Arts-Visual-Encyclopedia-DK/dp/1465462902/ref=sr_1_35?keywords=art+books&qid=1639629606&sr=8-35
The Stolen Lady: A Novel of World War II and the Mona Lisa,$11.99,4.4 out of 5 stars,https://www.amazon.com/Stolen-Lady-Novel-World-Mona-ebook/dp/B08R3XBLCZ/ref=sr_1_36?keywords=art+books&qid=1639629606&sr=8-36
Show Your Work!: 10 Ways to Share Your Creativity and Get Discovered (Austin Kleon),$10.14,4.7 out of 5 stars,https://www.amazon.com/Show-Your-Work-Austin-Kleon/dp/076117897X/ref=sr_1_37?keywords=art+books&qid=1639629606&sr=8-37
Minor Feelings: An Asian American Reckoning,$13.70,4.6 out of 5 stars,https://www.amazon.com/Minor-Feelings-Asian-American-Reckoning/dp/1984820389/ref=sr_1_38?keywords=art+books&qid=1639629606&sr=8-38
Final Fantasy XIV: Shadowbringers -- The Art of Reflection -Histories Unwritten-,$30.53,4.9 out of 5 stars,https://www.amazon.com/Final-Fantasy-XIV-Shadowbringers-Reflection/dp/1646091221/ref=sr_1_39?keywords=art+books&qid=1639629606&sr=8-39
Banksy You Are An Acceptable Level of Threat and if You Were Not You Would Know About it,$28.49,4.8 out of 5 stars,https://www.amazon.com/Banksy-Acceptable-Level-Threat-Would/dp/1908211784/ref=sr_1_40?keywords=art+books&qid=1639629606&sr=8-40
Van Gogh: The Life,$21.10,4.7 out of 5 stars,https://www.amazon.com/Van-Gogh-Life-Steven-Naifeh/dp/0375758976/ref=sr_1_41?keywords=art+books&qid=1639629606&sr=8-41
Halo Encyclopedia (Deluxe Edition),$89.99,,https://www.amazon.com/Halo-Encyclopedia-Deluxe-Microsoft/dp/1506731163/ref=sr_1_42?keywords=art+books&qid=1639629606&sr=8-42
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,$8.58,4.5 out of 5 stars,https://www.amazon.com/Life-Changing-Magic-Tidying-Decluttering-Organizing/dp/1607747308/ref=sr_1_43?keywords=art+books&qid=1639629606&sr=8-43
Pictures by J.R.R. Tolkien,$26.81,4.7 out of 5 stars,https://www.amazon.com/Pictures-J-R-R-Tolkien-J-R/dp/0358653045/ref=sr_1_44?keywords=art+books&qid=1639629606&sr=8-44
The Art of Cuphead,$21.99,4.9 out of 5 stars,https://www.amazon.com/Art-Cuphead-Studio-MDHR/dp/1506713203/ref=sr_1_45?keywords=art+books&qid=1639629606&sr=8-45
Abstract Painting: For Today's Contemporary Artist,$19.99,4.5 out of 5 stars,https://www.amazon.com/Abstract-Painting-Todays-Contemporary-Artist/dp/B08P1KJHLL/ref=sr_1_46?keywords=art+books&qid=1639629606&sr=8-46
Art: The Definitive Visual Guide,$40.90,4.7 out of 5 stars,https://www.amazon.com/Art-Definitive-Andrew-Graham-Dixon/dp/1465474757/ref=sr_1_47?keywords=art+books&qid=1639629606&sr=8-47
"Vatican: All the Paintings: The Complete Collection of Old Masters, Plus More than 300 Sculptures, Maps, Tapestries, and other Artifacts",$70.82,4.8 out of 5 stars,https://www.amazon.com/Vatican-Paintings-Collection-Sculptures-Tapestries/dp/1579129439/ref=sr_1_48?keywords=art+books&qid=1639629606&sr=8-48
Art = Discovering Infinite Connections in Art History from The Metropolitan Museum of Art,$66.54,4.7 out of 5 stars,https://www.amazon.com/Art-Discovering-Infinite-Connections-History/dp/0714879428/ref=sr_1_49?keywords=art+books&qid=1639629606&sr=8-49
Yoshitomo Nara,$45.00,5.0 out of 5 stars,https://www.amazon.com/Yoshitomo-Nara-Mika-Yoshitake/dp/1636810292/ref=sr_1_50?keywords=art+books&qid=1639629606&sr=8-50
Star Wars Art: Ralph McQuarrie,$184.60,4.9 out of 5 stars,https://www.amazon.com/Star-Wars-Art-Ralph-McQuarrie/dp/1419717936/ref=sr_1_51?keywords=art+books&qid=1639629606&sr=8-51
Mondo: The Art of Soundtracks,$30.08,4.8 out of 5 stars,https://www.amazon.com/Mondo-Art-Soundtracks-Insight-Editions/dp/1683838858/ref=sr_1_52?keywords=art+books&qid=1639629606&sr=8-52
The Night Portrait: A Novel of World War II and da Vinci's Italy,$16.99,4.5 out of 5 stars,https://www.amazon.com/Night-Portrait-Novel-World-Vincis/dp/0062993577/ref=sr_1_53?keywords=art+books&qid=1639629606&sr=8-53
"Artlicious 6 Sketch Books Classroom Pack - 5.5 inch x 8.5 inch - 360 Sheets 720 Pages Total Drawing Pads, Sketchbooks",$19.99,4.7 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0556709VIO4E5P717GE&url=%2FArtlicious-Sketch-Books-Classroom-Pack%2Fdp%2FB07GC36WTV%2Fref%3Dsr_1_54_sspa%3Fkeywords%3Dart%2Bbooks%26qid%3D1639629606%26sr%3D8-54-spons%26psc%3D1&qualifier=1639629606&id=1949542074048701&widgetName=sp_btf
Essential Succulents: The Beginner's Guide,$12.99,4.6 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A00452533KXJKN5EA49Z8&url=%2FEssential-Succulents-Beginners-Ken-Shelf%2Fdp%2F1641522550%2Fref%3Dsr_1_55_sspa%3Fkeywords%3Dart%2Bbooks%26qid%3D1639629606%26sr%3D8-55-spons%26psc%3D1&qualifier=1639629606&id=1949542074048701&widgetName=sp_btf
NieR: Automata World Guide Volume 1,$25.25,4.9 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A09914832GPA0R70DEC7F&url=%2FNieR-Automata-World-Guide-1%2Fdp%2F150671031X%2Fref%3Dsr_1_56_sspa%3Fkeywords%3Dart%2Bbooks%26qid%3D1639629606%26sr%3D8-56-spons%26psc%3D1&qualifier=1639629606&id=1949542074048701&widgetName=sp_btf
The Creative Screenwriter: 12 Rules to Follow―and Break―to Unlock Your Screenwriting Potential,$16.44,4.7 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A02624213FEMX3SZHYBK1&url=%2FCreative-Screenwriter-Follow_and-Screenwriting-Potential%2Fdp%2F1646116100%2Fref%3Dsr_1_57_sspa%3Fkeywords%3Dart%2Bbooks%26qid%3D1639629606%26sr%3D8-57-spons%26psc%3D1&qualifier=1639629606&id=1949542074048701&widgetName=sp_btf
"Colored Pencils 48 Count Set with Color Number, 3.9mm Soft Core, Premium Color Pencils for Adult Coloring Book, Professional Art Supply for Artist Teacher Student Adults Teen, Gifts in Tin Box",$23.99,4.8 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A03614341ISF7EE62ZUKD&url=%2FColored-Pencils-Premium-Coloring-Professional%2Fdp%2FB093ZSM8GF%2Fref%3Dsr_1_58_sspa%3Fkeywords%3Dart%2Bbooks%26qid%3D1639629606%26sr%3D8-58-spons%26psc%3D1&qualifier=1639629606&id=1949542074048701&widgetName=sp_btf
"Notebook: A 60's - 70's Retro Hippie Style College Ruled Book for Women, Men, Students and Teens",$6.79,,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A02368553LNBIQVGWWCD9&url=%2FNotebook-Retro-Hippie-College-Students%2Fdp%2FB09LGJT5TF%2Fref%3Dsr_1_59_sspa%3Fkeywords%3Dart%2Bbooks%26qid%3D1639629606%26sr%3D8-59-spons%26psc%3D1&qualifier=1639629606&id=1949542074048701&widgetName=sp_btf
The Beatles: Get Back,$35.73,4.8 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0725223JJEQQ71ZXV58&url=%2FThe-Beatles-Get-Back%2Fdp%2F0935112960%2Fref%3Dsr_1_49_sspa%3Fkeywords%3Dart%2Bbooks%26qid%3D1639629609%26sr%3D8-49-spons%26psc%3D1&qualifier=1639629609&id=797071017084246&widgetName=sp_atf_next
Broadway Musical Trivia Book: Fun-Filled Facts & Trivia Questions To Find Out How Much You Really Know!,$12.68,4.4 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A001037620W2OWE38QRK4&url=%2FBroadway-Musical-Trivia-Book-Fun-Filled%2Fdp%2F1955149011%2Fref%3Dsr_1_50_sspa%3Fkeywords%3Dart%2Bbooks%26qid%3D1639629609%26sr%3D8-50-spons%26psc%3D1&qualifier=1639629609&id=797071017084246&widgetName=sp_atf_next
