Book Name,Price,Rating,Link
"Modern Chess Openings, 15th Edition",$23.49,4.7 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02831128XBC0TIZJKNG&url=%2FModern-Chess-Openings-15th-Firmian%2Fdp%2F0812936825%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dchess%2Bbooks%26qid%3D1639629622%26sr%3D8-1-spons%26psc%3D1&qualifier=1639629622&id=1281099366647389&widgetName=sp_atf
The Immortal Game: A History of Chess,$14.89,4.5 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09079741M0YLUBIRRRTQ&url=%2FImmortal-Game-History-Chess%2Fdp%2F1400034086%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dchess%2Bbooks%26qid%3D1639629622%26sr%3D8-2-spons%26psc%3D1&qualifier=1639629622&id=1281099366647389&widgetName=sp_atf
How a King Plays: 64 Chess Tips from a Kid Champion,$8.58,4.2 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01529121H1WBIOYZ4LLS&url=%2FHow-King-Plays-Chess-Champion%2Fdp%2F0593451260%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dchess%2Bbooks%26qid%3D1639629622%26sr%3D8-3-spons%26psc%3D1&qualifier=1639629622&id=1281099366647389&widgetName=sp_atf
CHESS: The Ultimate Chess Tactics and Strategies!,$19.97,4.5 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A049999020GV5Q2GA9Z94&url=%2FCHESS-Ultimate-Chess-Tactics-Strategies%2Fdp%2F151886046X%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dchess%2Bbooks%26qid%3D1639629622%26sr%3D8-4-spons%26psc%3D1&qualifier=1639629622&id=1281099366647389&widgetName=sp_atf
Bobby Fischer Teaches Chess,$7.99,4.6 out of 5 stars,https://www.amazon.com/Bobby-Fischer-Teaches-Chess/dp/0553263153/ref=sr_1_5?keywords=chess+books&qid=1639629622&sr=8-5
Complete Book of Chess Strategy,$15.95,4.6 out of 5 stars,https://www.amazon.com/Complete-Book-Chess-Strategy-Grandmaster/dp/1890085014/ref=sr_1_6?keywords=chess+books&qid=1639629622&sr=8-6
"Modern Chess Openings, 15th Edition",$23.49,4.7 out of 5 stars,https://www.amazon.com/Modern-Chess-Openings-15th-Firmian/dp/0812936825/ref=sr_1_7?keywords=chess+books&qid=1639629622&sr=8-7
"Chess: 5334 Problems, Combinations and Games",$23.99,4.6 out of 5 stars,https://www.amazon.com/Chess-5334-Problems-Combinations-Games/dp/1579125549/ref=sr_1_8?keywords=chess+books&qid=1639629622&sr=8-8
How a King Plays: 64 Chess Tips from a Kid Champion,$8.58,4.2 out of 5 stars,https://www.amazon.com/How-King-Plays-Chess-Champion/dp/0593451260/ref=sr_1_9?keywords=chess+books&qid=1639629622&sr=8-9
How to Reassess Your Chess: Chess Mastery Through Chess Imbalances,$24.32,4.7 out of 5 stars,https://www.amazon.com/How-Reassess-Your-Chess-Imbalances/dp/1890085138/ref=sr_1_10?keywords=chess+books&qid=1639629622&sr=8-10
Chess Fundamentals,$9.99,4.5 out of 5 stars,https://www.amazon.com/Chess-Fundamentals-Jose-Capablanca/dp/0999319450/ref=sr_1_11?keywords=chess+books&qid=1639629622&sr=8-11
Logical Chess: Move By Move: Every Move Explained New Algebraic Edition,$16.99,4.7 out of 5 stars,https://www.amazon.com/Logical-Chess-Every-Explained-Algebraic/dp/0713484640/ref=sr_1_12?keywords=chess+books&qid=1639629622&sr=8-12
"How to Play Chess: A Beginner’s Guide to the Rules of Chess, Essential Tactics & Key Strategies to Win",$12.97,4.7 out of 5 stars,https://www.amazon.com/How-Play-Chess-Beginners-Strategies/dp/B08YQQTXHV/ref=sr_1_13?keywords=chess+books&qid=1639629622&sr=8-13
