Book Name,Price,Rating,Link
Princess Naomi Helps a Unicorn: A Dance-It-Out Creative Movement Story for Young Movers (Dance-It-Out! Creative Movement Stories for Young Movers),$7.48,4.6 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A08547962A37UBJHY5AO7&url=%2FPrincess-Naomi-Helps-Unicorn-Dance%2Fdp%2F173658992X%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dchildren%2Bbooks%26qid%3D1639629590%26sr%3D8-1-spons%26psc%3D1&qualifier=1639629590&id=8321447482834321&widgetName=sp_atf
Little Red Sleigh: A Heartwarming Christmas Book For Children,$12.99,4.8 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A08913891669TW10N3YM9&url=%2FLittle-Red-Sleigh-Heartwarming-Christmas%2Fdp%2F1728246547%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dchildren%2Bbooks%26qid%3D1639629590%26sr%3D8-2-spons%26psc%3D1&qualifier=1639629590&id=8321447482834321&widgetName=sp_atf
The Wonderful Things You Will Be,$8.55,4.9 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A04599853ZC5HIMVEXGR&url=%2FWonderful-Things-You-Will-Be%2Fdp%2F0385376715%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dchildren%2Bbooks%26qid%3D1639629590%26sr%3D8-3-spons%26psc%3D1&qualifier=1639629590&id=8321447482834321&widgetName=sp_atf
"Dear Santa: For Everyone Who Believes in the Magic of Christmas (classic Christmas books for children, stocking stuffers for kids)",$16.19,4.5 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0644925M2YTZETONUH6&url=%2FDear-Santa-Everyone-Believes-Christmas%2Fdp%2F1492694746%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dchildren%2Bbooks%26qid%3D1639629590%26sr%3D8-4-spons%26psc%3D1&qualifier=1639629590&id=8321447482834321&widgetName=sp_atf
"National Geographic Kids Animal Encyclopedia 2nd edition: 2,500 Animals with Photos, Maps, and More!",$19.42,4.9 out of 5 stars,https://www.amazon.com/National-Geographic-Kids-Animal-Encyclopedia/dp/1426372302/ref=sr_1_5?keywords=children+books&qid=1639629590&sr=8-5
Santa's Lost Reindeer: A Christmas Book That Will Keep You Laughing,$12.99,4.7 out of 5 stars,https://www.amazon.com/Santas-Lost-Reindeer-Christmas-Laughing/dp/1777261945/ref=sr_1_6?keywords=children+books&qid=1639629590&sr=8-6
"Dr. Seuss's Beginner Book Collection (Cat in the Hat, One Fish Two Fish, Green Eggs and Ham, Hop on Pop, Fox in Socks)",$26.47,4.9 out of 5 stars,https://www.amazon.com/Seusss-Beginner-Collection-Green-Socks/dp/0375851569/ref=sr_1_7?keywords=children+books&qid=1639629590&sr=8-7
Amelia Bedelia Chapter Book 4-Book Box Set: Books 1-4,$20.76,4.8 out of 5 stars,https://www.amazon.com/Amelia-Bedelia-Chapter-Book-Box/dp/0062334204/ref=sr_1_8?keywords=children+books&qid=1639629590&sr=8-8
"Construction Site: Road Crew, Coming Through! (Goodnight, Goodnight Construction Site)",$14.99,4.9 out of 5 stars,https://www.amazon.com/Construction-Site-Road-Coming-Through/dp/1797204726/ref=sr_1_9?keywords=children+books&qid=1639629590&sr=8-9
The Story of Ferdinand,$4.74,4.8 out of 5 stars,https://www.amazon.com/Story-Ferdinand-Munro-Leaf/dp/044845694X/ref=sr_1_10?keywords=children+books&qid=1639629590&sr=8-10
