Book Name,Price,Rating,Link
Make Your Own Superheroes: A blank Superhero and comic book character template book for Kids and Collectors of all ages,$8.99,4.6 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A00189743K1H3VXD0YES9&url=%2FMake-Your-Own-Superheroes-Collectors%2Fdp%2FB086G8NX5S%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dcomic%2Bbooks%26qid%3D1639629572%26sr%3D8-1-spons%26psc%3D1&qualifier=1639629572&id=5402455533009099&widgetName=sp_atf
"Comic Book Collection Gift Pack | Marvel, DC & Indy Comic Lot | Includes 25 Good Condition or Better Comics w/No Duplication Teens & Men | Great Birthday Party Grab Bag",$29.97,4.0 out of 5 stars,https://www.amazon.com/Collection-Marvel-Condition-Duplication-Birthday/dp/B08VQ4YZGY/ref=sr_1_2?keywords=comic+books&qid=1639629572&sr=8-2
Cat Kid Comic Club: Perspectives: A Graphic Novel (Cat Kid Comic Club #2): From the Creator of Dog Man,$8.62,4.8 out of 5 stars,https://www.amazon.com/Cat-Kid-Comic-Club-Perspectives/dp/1338784854/ref=sr_1_3?keywords=comic+books&qid=1639629572&sr=8-3
Comic Book Collection Gift Pack | Lot of 25 Unique Marvel & DC Comic Books Only | Good Condition or Better | Perfect Marvel Comics Gift for Men | Marvel & DC Comics Collection,$39.97,4.4 out of 5 stars,https://www.amazon.com/Collection-Unique-Marvel-Condition-Perfect/dp/B08NFBGLWQ/ref=sr_1_4?keywords=comic+books&qid=1639629572&sr=8-4
MARVEL Comic Book Grab Bag - 10 pack,$12.50,4.4 out of 5 stars,https://www.amazon.com/MARVEL-Comic-Book-Grab-Bag/dp/B07ZDKZKL2/ref=sr_1_5?keywords=comic+books&qid=1639629572&sr=8-5
"Mighty Marvel Masterworks: The Avengers Vol. 1: The Coming of the Avengers (Mighty Marvel Masterworks; the Avengers, 1)",$14.43,5.0 out of 5 stars,https://www.amazon.com/Mighty-Marvel-Masterworks-Avengers-Coming/dp/130292978X/ref=sr_1_6?keywords=comic+books&qid=1639629572&sr=8-6
Premium Comic Books Gift Pack - 24 Comics Collection - MARVEL ONLY - Superheroes Comics Grab Bag,$20.50,4.5 out of 5 stars,https://www.amazon.com/Premium-Comic-Books-Gift-Pack/dp/B08WGKTG49/ref=sr_1_7?keywords=comic+books&qid=1639629572&sr=8-7
,,,
Comic Books Gift Pack - 20 Comics Marvel & DC Only - Superheroes Grab Bag,$23.90,4.5 out of 5 stars,https://www.amazon.com/Comic-Books-Gift-Pack-Superheroes/dp/B086M9Q7TV/ref=sr_1_9?keywords=comic+books&qid=1639629572&sr=8-9
The Periodic Table of Marvel,$17.99,4.7 out of 5 stars,https://www.amazon.com/Periodic-Table-Marvel-Melanie-Scott/dp/0744039754/ref=sr_1_10?keywords=comic+books&qid=1639629572&sr=8-10
HUGE COMIC BOOK LOT 25 MARVEL DC INDY SUPERMAN BATMAN X-MEN NO DUPLICATES - Hot choice,$19.00,4.2 out of 5 stars,https://www.amazon.com/COMIC-MARVEL-SUPERMAN-BATMAN-DUPLICATES/dp/B01H1CIR7M/ref=sr_1_11_mod_primary_new?keywords=comic+books&qid=1639629572&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-11
Archie: 80 Years of Christmas (Archie Christmas Digests),$9.99,4.6 out of 5 stars,https://www.amazon.com/Archie-80-Years-Christmas-Digests/dp/1645769275/ref=sr_1_12?keywords=comic+books&qid=1639629572&sr=8-12
Searchlight Comics 10 Pack Bundle (Marvel),$13.50,4.2 out of 5 stars,https://www.amazon.com/Searchlight-Comics-Pack-Bundle-Marvel/dp/B077MRH94B/ref=sr_1_13?keywords=comic+books&qid=1639629572&sr=8-13
Comic Book Lot of 50 (Various Distributors Marvel DC And Various others) (Near Mint),$37.99,4.3 out of 5 stars,https://www.amazon.com/Comic-Various-Distributors-Marvel-others/dp/B08HPXNJRT/ref=sr_1_14?keywords=comic+books&qid=1639629572&sr=8-14
Ms. Marvel Volume 1: No Normal,$14.39,4.6 out of 5 stars,https://www.amazon.com/Ms-Marvel-1-No-Normal/dp/078519021X/ref=sr_1_15?keywords=comic+books&qid=1639629572&sr=8-15
Essential Guide to Comic Book Lettering,$16.99,4.9 out of 5 stars,https://www.amazon.com/Essential-Guide-Comic-Book-Lettering/dp/1534319956/ref=sr_1_16?keywords=comic+books&qid=1639629572&sr=8-16
The Most Important Comic Book on Earth: Stories to Save the World,$21.97,4.8 out of 5 stars,https://www.amazon.com/Most-Important-Comic-Book-Earth/dp/0744042828/ref=sr_1_17?keywords=comic+books&qid=1639629572&sr=8-17
"Blank Comic Book: Draw Your Own Comics - 150 Pages of Fun and Unique Templates - A Large 8.5"" x 11"" Notebook and Sketchbook for Kids and Adults to Unleash Creativity",$6.99,4.7 out of 5 stars,https://www.amazon.com/Blank-Comic-Book-Sketchbook-Creativity/dp/1728677572/ref=sr_1_18?keywords=comic+books&qid=1639629572&sr=8-18
