Book Name,Price,Rating,Link
You Are Not Stupid: Computers and Technology Simplified,$0.00,4.5 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02223852UIKSM9Y1LAJ8&url=%2FYou-Are-Not-Stupid-Technology-ebook%2Fdp%2FB08B3VJLGZ%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dcomputer%2Bbooks%26qid%3D1639629572%26sr%3D8-1-spons%26psc%3D1&qualifier=1639629572&id=5926852096705536&widgetName=sp_atf
"Java: The Complete Reference, Twelfth Edition",$44.80,5.0 out of 5 stars,https://www.amazon.com/Java-Complete-Reference-Herbert-Schildt/dp/1260463419/ref=sr_1_2?keywords=computer+books&qid=1639629572&sr=8-2
Computers For Seniors For Dummies (For Dummies (Computer/Tech)),$14.59,4.2 out of 5 stars,https://www.amazon.com/Computers-Seniors-Dummies-Computer-Tech/dp/1119420318/ref=sr_1_3?keywords=computer+books&qid=1639629572&sr=8-3
The Self-Taught Programmer: The Definitive Guide to Programming Professionally,$21.87,4.6 out of 5 stars,https://www.amazon.com/Self-Taught-Programmer-Definitive-Programming-Professionally/dp/0999685902/ref=sr_1_4?keywords=computer+books&qid=1639629572&sr=8-4
Essential Computer Hardware Second Edition: The Illustrated Guide to Understanding Computer Hardware (Computer Essentials),$13.49,4.3 out of 5 stars,https://www.amazon.com/Essential-Computer-Hardware-Second-Understanding/dp/1911174924/ref=sr_1_5?keywords=computer+books&qid=1639629572&sr=8-5
Everything You Need to Ace Computer Science and Coding in One Big Fat Notebook: The Complete Middle School Study Guide (Big Fat Notebooks),$12.87,4.8 out of 5 stars,https://www.amazon.com/Everything-Computer-Science-Coding-Notebook/dp/1523502770/ref=sr_1_6?keywords=computer+books&qid=1639629572&sr=8-6
"Princeton Review AP Computer Science Principles Prep, 2022: 3 Practice Tests + Complete Content Review + Strategies & Techniques (2022) (College Test Preparation)",$14.10,4.5 out of 5 stars,https://www.amazon.com/Princeton-Review-Computer-Science-Principles/dp/0525570837/ref=sr_1_7?keywords=computer+books&qid=1639629572&sr=8-7
Troubleshooting & Maintaining PCs All-in-One For Dummies (For Dummies (Computer/Tech)),$25.80,4.4 out of 5 stars,https://www.amazon.com/Troubleshooting-Maintaining-All-One-Dummies/dp/1119740304/ref=sr_1_8?keywords=computer+books&qid=1639629572&sr=8-8
"Computers for Seniors: Email, Internet, Photos, and More in 14 Easy Lessons",$18.30,4.2 out of 5 stars,https://www.amazon.com/Computers-Seniors-Internet-Photos-Lessons/dp/159327792X/ref=sr_1_9?keywords=computer+books&qid=1639629572&sr=8-9
You Are Not Stupid: Computers and Technology Simplified,$15.99,4.5 out of 5 stars,https://www.amazon.com/You-Are-Not-Stupid-Technology/dp/0997326492/ref=sr_1_10?keywords=computer+books&qid=1639629572&sr=8-10
