Book Name,Price,Rating,Link
5-Ingredient Cooking for Two: 100 Recipes Portioned for Pairs,$15.28,4.5 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A05941573A7CIZ7P6R5GT&url=%2F5-Ingredient-Cooking-Two-Recipes-Portioned%2Fdp%2F1646110986%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dcooking%2Bbooks%26qid%3D1639629589%26sr%3D8-1-spons%26psc%3D1&qualifier=1639629589&id=3614195384264486&widgetName=sp_atf
Spectacular Spreads: 50 Amazing Food Spreads for Any Occasion,$20.62,4.8 out of 5 stars,https://www.amazon.com/Spectacular-Spreads-Amazing-Food-Occasion/dp/1631067427/ref=sr_1_2?keywords=cooking+books&qid=1639629589&sr=8-2
"The Complete Cooking for Two Cookbook, Gift Edition: 650 Recipes for Everything You'll Ever Want to Make (The Complete ATK Cookbook Series)",$23.99,4.7 out of 5 stars,https://www.amazon.com/Complete-Cooking-Two-Cookbook-Gift/dp/1945256060/ref=sr_1_3?keywords=cooking+books&qid=1639629589&sr=8-3
"The Unofficial Disney Parks Drink Recipe Book: From LeFou's Brew to the Jedi Mind Trick, 100+ Magical Disney-Inspired Drinks (Unofficial Cookbook)",$11.89,4.7 out of 5 stars,https://www.amazon.com/Unofficial-Disney-Parks-Drink-Recipe/dp/1507215959/ref=sr_1_4?keywords=cooking+books&qid=1639629589&sr=8-4
The Professional Chef,$49.49,4.8 out of 5 stars,https://www.amazon.com/Professional-Chef-Culinary-Institute-America/dp/0470421355/ref=sr_1_5?keywords=cooking+books&qid=1639629589&sr=8-5
Joshua Weissman: An Unapologetic Cookbook. #1 NEW YORK TIMES BESTSELLER,$17.93,4.9 out of 5 stars,https://www.amazon.com/Joshua-Weissman-Unapologetic-Cookbook/dp/1615649980/ref=sr_1_6?keywords=cooking+books&qid=1639629589&sr=8-6
Mastering the Art of French Cooking (2 Volume Set),$52.76,4.9 out of 5 stars,https://www.amazon.com/Mastering-Art-French-Cooking-Set/dp/0307593525/ref=sr_1_7?keywords=cooking+books&qid=1639629589&sr=8-7
The Food Lab: Better Home Cooking Through Science,$30.23,4.9 out of 5 stars,https://www.amazon.com/Food-Lab-Cooking-Through-Science/dp/0393081087/ref=sr_1_8?keywords=cooking+books&qid=1639629589&sr=8-8
The New Cooking School Cookbook: Fundamentals,$29.56,4.4 out of 5 stars,https://www.amazon.com/New-Cooking-School-Cookbook-Fundamentals/dp/1948703866/ref=sr_1_9?keywords=cooking+books&qid=1639629589&sr=8-9
Colombiana: A Rediscovery of Recipes and Rituals from the Soul of Colombia,$20.49,4.7 out of 5 stars,https://www.amazon.com/Colombiana-Rediscovery-Recipes-Rituals-Colombia/dp/0063019434/ref=sr_1_10?keywords=cooking+books&qid=1639629589&sr=8-10
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",$16.65,4.8 out of 5 stars,https://www.amazon.com/Salt-Fat-Acid-Heat-Mastering/dp/1476753830/ref=sr_1_11?keywords=cooking+books&qid=1639629589&sr=8-11
The Book on Pie: Everything You Need to Know to Bake Perfect Pies,$26.34,4.8 out of 5 stars,https://www.amazon.com/Book-Pie-Everything-Need-Perfect/dp/0358229286/ref=sr_1_12?keywords=cooking+books&qid=1639629589&sr=8-12
"Cooking at Home: Or, How I Learned to Stop Worrying About Recipes (And Love My Microwave): A Cookbook",$23.48,4.4 out of 5 stars,https://www.amazon.com/Cooking-Home-Worrying-Microwave-Cookbook/dp/1524759244/ref=sr_1_13?keywords=cooking+books&qid=1639629589&sr=8-13
Easy Spanish Cookbook: Recipes to Bring Home the Flavors of Spain,$12.61,4.5 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A08253371FRE073Y7I1QC&url=%2FEasy-Spanish-Cookbook-Recipes-Flavors%2Fdp%2F1646117867%2Fref%3Dsr_1_14_sspa%3Fkeywords%3Dcooking%2Bbooks%26qid%3D1639629589%26sr%3D8-14-spons%26psc%3D1&qualifier=1639629589&id=3614195384264486&widgetName=sp_mtf
Fermented Hot Sauce Cookbook: A Step-by-Step Guide to Making Hot Sauce From Scratch,$12.18,4.5 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A04444712IOXEN58B3ZGM&url=%2FFermented-Sauce-Cookbook-Step-Step%2Fdp%2F1638072027%2Fref%3Dsr_1_15_sspa%3Fkeywords%3Dcooking%2Bbooks%26qid%3D1639629589%26sr%3D8-15-spons%26psc%3D1&qualifier=1639629589&id=3614195384264486&widgetName=sp_mtf
The Everyday Ayurveda Cookbook: A Seasonal Guide to Eating and Living Well,$18.77,4.7 out of 5 stars,https://www.amazon.com/Everyday-Ayurveda-Cookbook-Seasonal-Eating/dp/1611802296/ref=sr_1_16?keywords=cooking+books&qid=1639629589&sr=8-16
"Lidia's a Pot, a Pan, and a Bowl: Simple Recipes for Perfect Meals: A Cookbook",$21.56,4.4 out of 5 stars,https://www.amazon.com/Lidias-Pot-Pan-Bowl-Recipes/dp/0525657401/ref=sr_1_17?keywords=cooking+books&qid=1639629589&sr=8-17
The Science of Spice: Understand Flavor Connections and Revolutionize Your Cooking,$20.49,4.7 out of 5 stars,https://www.amazon.com/Spice-Understand-Science-Exciting-Revolutionize/dp/1465475575/ref=sr_1_18?keywords=cooking+books&qid=1639629589&sr=8-18
Magnolia Table,$16.59,4.8 out of 5 stars,https://www.amazon.com/Magnolia-Table-Collection-Recipes-Gathering/dp/006282015X/ref=sr_1_19?keywords=cooking+books&qid=1639629589&sr=8-19
The Cake Book: Beautiful Sweet Treats for Every Craving,$20.54,5.0 out of 5 stars,https://www.amazon.com/Cake-Book-Beautiful-Treats-Craving/dp/1645673448/ref=sr_1_20?keywords=cooking+books&qid=1639629589&sr=8-20
Wine Time: 70+ Recipes for Simple Bites That Pair Perfectly with Wine,$22.95,4.7 out of 5 stars,https://www.amazon.com/Wine-Time-Recipes-Simple-Perfectly/dp/1452181861/ref=sr_1_21?keywords=cooking+books&qid=1639629589&sr=8-21
Sous Vide at Home: The Modern Technique for Perfectly Cooked Meals [A Cookbook],$23.30,4.5 out of 5 stars,https://www.amazon.com/Sous-Vide-Home-Technique-Perfectly/dp/0399578064/ref=sr_1_22?keywords=cooking+books&qid=1639629589&sr=8-22
The Step-by-Step Instant Pot Cookbook: 100 Simple Recipes for Spectacular Results -- with Photographs of Every Step,$10.78,4.7 out of 5 stars,https://www.amazon.com/Step-Step-Instant-Pot-Cookbook/dp/0316460834/ref=sr_1_23?keywords=cooking+books&qid=1639629589&sr=8-23
"Super Easy Slow Cooker Cookbook: 115 No-Fuss, Hands-Off Recipes",$16.19,4.5 out of 5 stars,https://www.amazon.com/Super-Easy-Slow-Cooker-Cookbook/dp/1638074267/ref=sr_1_24?keywords=cooking+books&qid=1639629589&sr=8-24
"The 5-Ingredient College Cookbook: Easy, Healthy Recipes for the Next Four Years & Beyond",$7.57,4.6 out of 5 stars,https://www.amazon.com/5-Ingredient-College-Cookbook-Healthy-Recipes/dp/1623158575/ref=sr_1_25?keywords=cooking+books&qid=1639629589&sr=8-25
"The Well Plated Cookbook: Fast, Healthy Recipes You'll Want to Eat",$21.31,4.7 out of 5 stars,https://www.amazon.com/Well-Plated-Cookbook-Healthy-Recipes/dp/0525541160/ref=sr_1_26?keywords=cooking+books&qid=1639629589&sr=8-26
"Ready, Set, Cook: How To Make Good Food with What's On Hand (No Fancy Skills, Fancy Equipment, or Fancy Budget Required)",$22.43,4.1 out of 5 stars,https://www.amazon.com/Ready-Set-Cook-Equipment-Required/dp/1982147261/ref=sr_1_27?keywords=cooking+books&qid=1639629589&sr=8-27
"Blackstone Outdoor Gas Griddle Cookbook for Beginners: 1000 Days Delicious and Foolproof Recipes, Pro Tips and Bold Ideas to Help You Master Outdoor Gas Griddle",$14.99,4.7 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A09287721QKK4RUJFB4LB&url=%2FBlackstone-Outdoor-Griddle-Cookbook-Beginners%2Fdp%2FB09HQ4P5MM%2Fref%3Dsr_1_28_sspa%3Fkeywords%3Dcooking%2Bbooks%26qid%3D1639629589%26sr%3D8-28-spons%26psc%3D1&qualifier=1639629589&id=3614195384264486&widgetName=sp_mtf
Easy Portuguese Cookbook: Recipes to Bring Home the Flavors of Portugal,$12.69,4.7 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A046509536L2VSBTEEWET&url=%2FEasy-Portuguese-Cookbook-Recipes-Portugal%2Fdp%2F1646116445%2Fref%3Dsr_1_29_sspa%3Fkeywords%3Dcooking%2Bbooks%26qid%3D1639629589%26sr%3D8-29-spons%26psc%3D1&qualifier=1639629589&id=3614195384264486&widgetName=sp_mtf
Easy Chinese Cookbook: Restaurant Favorites Made Simple,$12.99,4.5 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A053870218BEDJSDDVV71&url=%2FEasy-Chinese-Cookbook-Restaurant-Favorites%2Fdp%2F1646115872%2Fref%3Dsr_1_30_sspa%3Fkeywords%3Dcooking%2Bbooks%26qid%3D1639629589%26sr%3D8-30-spons%26psc%3D1&qualifier=1639629589&id=3614195384264486&widgetName=sp_mtf
Joy of Cooking: 2019 Edition Fully Revised and Updated,$17.49,4.8 out of 5 stars,https://www.amazon.com/Joy-Cooking-Fully-Revised-Updated/dp/1501169718/ref=sr_1_31?keywords=cooking+books&qid=1639629589&sr=8-31
Food by Fire: Grilling and BBQ with Derek Wolf of Over the Fire Cooking,$17.99,4.8 out of 5 stars,https://www.amazon.com/Food-Fire-Grilling-Derek-Cooking/dp/1592339751/ref=sr_1_32?keywords=cooking+books&qid=1639629589&sr=8-32
Together: Memorable Meals Made Easy [American Measurements],$25.16,4.4 out of 5 stars,https://www.amazon.com/Together-Memorable-Meals-American-Measurements/dp/1250821797/ref=sr_1_33?keywords=cooking+books&qid=1639629589&sr=8-33
On The Road Again! RV Cooking Made Easy,$12.00,4.4 out of 5 stars,https://www.amazon.com/Road-Again-Cooking-Made-Easy/dp/1563836114/ref=sr_1_34?keywords=cooking+books&qid=1639629589&sr=8-34
The Chef's Garden: A Modern Guide to Common and Unusual Vegetables--with Recipes,$38.99,4.8 out of 5 stars,https://www.amazon.com/Chefs-Garden-Unusual-Vegetables-Recipes/dp/0525541063/ref=sr_1_35?keywords=cooking+books&qid=1639629589&sr=8-35
"Bread Baking for Beginners: The Essential Guide to Baking Kneaded Breads, No-Knead Breads, and Enriched Breads",$10.79,4.6 out of 5 stars,https://www.amazon.com/Bread-Baking-Beginners-Essential-No-Knead/dp/1641521198/ref=sr_1_36?keywords=cooking+books&qid=1639629589&sr=8-36
