Book Name,Price,Rating,Link
The Big Book of Serial Killers (An Encyclopedia of Serial Killers),$19.95,4.7 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0899484177V7HTYQOHJ9&url=%2FBig-Book-Serial-Killers%2Fdp%2F1548119644%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dcrime%2Bbooks%26qid%3D1639629589%26sr%3D8-1-spons%26psc%3D1&qualifier=1639629589&id=3849533315152952&widgetName=sp_atf
"Jeffrey Dahmer: A Terrifying True Story of Rape, Murder & Cannibalism (The Serial Killer Books)",$11.95,4.3 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0609200NADJWUCT3MPU&url=%2FJeffrey-Dahmer-Terrifying-Murder-Cannibalism%2Fdp%2F1545130434%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dcrime%2Bbooks%26qid%3D1639629589%26sr%3D8-2-spons%26psc%3D1&qualifier=1639629589&id=3849533315152952&widgetName=sp_atf
The Big Book of Serial Killers Volume 2: Another 150 Serial Killer Files of the World's Worst Murderers (An Encyclopedia of Serial Killers),$13.98,4.7 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A05419261YA407SQJ3YQD&url=%2FBig-Book-Serial-Killers-Encyclopedia%2Fdp%2F171030779X%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dcrime%2Bbooks%26qid%3D1639629589%26sr%3D8-3-spons%26psc%3D1&qualifier=1639629589&id=3849533315152952&widgetName=sp_atf
Murder at Venegoni's (VENEGONIS Book 1),$0.00,4.2 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A06013931OXQXWQTZKQ0M&url=%2FMurder-at-Venegonis-Christopher-Rutledge-ebook%2Fdp%2FB01M22NRK1%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dcrime%2Bbooks%26qid%3D1639629589%26sr%3D8-4-spons%26psc%3D1&qualifier=1639629589&id=3849533315152952&widgetName=sp_atf
"If You Tell: A True Story of Murder, Family Secrets, and the Unbreakable Bond of Sisterhood",$0.00,4.4 out of 5 stars,https://www.amazon.com/If-You-Tell-Unbreakable-Sisterhood-ebook/dp/B07Q5TL9SQ/ref=sr_1_5?keywords=crime+books&qid=1639629589&sr=8-5
Billy Summers,$15.00,4.6 out of 5 stars,https://www.amazon.com/Billy-Summers-Stephen-King/dp/1982173610/ref=sr_1_6?keywords=crime+books&qid=1639629589&sr=8-6
"The House of Gucci: A True Story of Murder, Madness, Glamour, and Greed",$0.00,4.2 out of 5 stars,https://www.amazon.com/The-House-of-Gucci/dp/B084B1PGBR/ref=sr_1_7?keywords=crime+books&qid=1639629589&sr=8-7
Mindhunter: Inside the FBI's Elite Serial Crime Unit,$10.79,4.7 out of 5 stars,https://www.amazon.com/Mindhunter-Inside-Elite-Serial-Crime/dp/1501191969/ref=sr_1_8?keywords=crime+books&qid=1639629589&sr=8-8
The Crime Book: Big Ideas Simply Explained,$15.05,4.7 out of 5 stars,https://www.amazon.com/Crime-Book-Ideas-Simply-Explained/dp/1465462864/ref=sr_1_9?keywords=crime+books&qid=1639629589&sr=8-9
Then She Was Gone: A Novel,$8.52,4.6 out of 5 stars,https://www.amazon.com/Then-She-Was-Gone-Novel/dp/1501154656/ref=sr_1_10?keywords=crime+books&qid=1639629589&sr=8-10
