Book Name,Price,Rating,Link
Her Name Is Knight (Nena Knight Book 1),$0.00,4.5 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A054269029WIK58SY3HLW&url=%2FHer-Name-Knight-Yasmin-Angoe-ebook%2Fdp%2FB08R75GRWM%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Ddrama%2Bbooks%26qid%3D1639629590%26sr%3D8-1-spons%26psc%3D1&qualifier=1639629590&id=5083473792796356&widgetName=sp_atf
Then She Was Gone: A Novel,$8.52,4.6 out of 5 stars,https://www.amazon.com/Then-She-Was-Gone-Novel/dp/1501154656/ref=sr_1_2?keywords=drama+books&qid=1639629590&sr=8-2
The Light Through the Leaves: A Novel,$0.00,4.5 out of 5 stars,https://www.amazon.com/Light-Through-Leaves-novel-ebook/dp/B08CZD46SK/ref=sr_1_3?keywords=drama+books&qid=1639629590&sr=8-3
Drama: A Graphic Novel,$7.99,4.7 out of 5 stars,https://www.amazon.com/Drama-Raina-Telgemeier-ebook/dp/B00J417G2G/ref=sr_1_4?keywords=drama+books&qid=1639629590&sr=8-4
One of Us Is Lying,$11.00,4.6 out of 5 stars,https://www.amazon.com/One-Us-Lying-Karen-McManus/dp/1524714682/ref=sr_1_5?keywords=drama+books&qid=1639629590&sr=8-5
If I Stay,$7.63,4.4 out of 5 stars,https://www.amazon.com/If-I-Stay-Gayle-Forman/dp/014241543X/ref=sr_1_6?keywords=drama+books&qid=1639629590&sr=8-6
The Grinding Wheel: A Jeff Trask Crime Drama (Book 7) (Jeff Trask Crime Drama Series),$0.00,4.8 out of 5 stars,https://www.amazon.com/Grinding-Wheel-Trask-Crime-Drama-ebook/dp/B09468TPKP/ref=sr_1_7?keywords=drama+books&qid=1639629590&sr=8-7
Smile: A Graphic Novel,$10.34,4.8 out of 5 stars,https://www.amazon.com/Smile-Raina-Telgemeier/dp/1338740261/ref=sr_1_8?keywords=drama+books&qid=1639629590&sr=8-8
The List,$6.93,4.4 out of 5 stars,https://www.amazon.com/List-Siobhan-Vivian/dp/0545169186/ref=sr_1_9?keywords=drama+books&qid=1639629590&sr=8-9
The Next Wife,$7.49,4.0 out of 5 stars,https://www.amazon.com/Next-Wife-Kaira-Rouda/dp/154202594X/ref=sr_1_10?keywords=drama+books&qid=1639629590&sr=8-10
