Book Name,Price,Rating,Link
TA LĘ: Book 1: Knowledge,$14.00,3.8 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A03639773GDABJ46QXOZJ&url=%2FTA-L%25C4%2598-Book-1-Knowledge%2Fdp%2F1777559413%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dfiction%2Bbooks%26qid%3D1639629572%26sr%3D8-1-spons%26psc%3D1&qualifier=1639629572&id=7911418527326474&widgetName=sp_atf
THE AMBASSADOR'S WIFE (THE INSPECTOR SAMUEL TAY NOVELS Book 1),$0.00,4.2 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0685597PS8CN1JHQMHY&url=%2FAMBASSADORS-WIFE-Inspector-Samuel-Novels-ebook%2Fdp%2FB006E8ZYPI%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dfiction%2Bbooks%26qid%3D1639629572%26sr%3D8-2-spons%26psc%3D1&qualifier=1639629572&id=7911418527326474&widgetName=sp_atf
Claus Boxed: A Science Fiction Holiday Adventure (Claus Universe Boxed Book 1),$0.00,4.5 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0724871YM8D57IWE2MN&url=%2FClaus-Boxed-Science-Fiction-Adventure-ebook%2Fdp%2FB00OVBJSDO%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dfiction%2Bbooks%26qid%3D1639629572%26sr%3D8-3-spons%26psc%3D1&qualifier=1639629572&id=7911418527326474&widgetName=sp_atf
The Wise Ass (The Claire Trilogy Book 1),$0.00,4.4 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0743831XQU12FUICA61&url=%2FWise-Ass-Claire-Trilogy-Book-ebook%2Fdp%2FB08V9GR7FZ%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dfiction%2Bbooks%26qid%3D1639629572%26sr%3D8-4-spons%26psc%3D1&qualifier=1639629572&id=7911418527326474&widgetName=sp_atf
Never: A Novel,$15.99,4.3 out of 5 stars,https://www.amazon.com/Never-Novel-Ken-Follett-ebook/dp/B08WCFQVR8/ref=sr_1_5?keywords=fiction+books&qid=1639629572&sr=8-5
The Last Thing He Told Me: A Novel,$14.00,4.3 out of 5 stars,https://www.amazon.com/Last-Thing-He-Told-Me/dp/1501171348/ref=sr_1_6?keywords=fiction+books&qid=1639629572&sr=8-6
The Wish,$14.00,4.8 out of 5 stars,https://www.amazon.com/Wish-Nicholas-Sparks/dp/1538728621/ref=sr_1_7?keywords=fiction+books&qid=1639629572&sr=8-7
In Five Years: A Novel,$11.06,4.4 out of 5 stars,https://www.amazon.com/Five-Years-Novel-Rebecca-Serle/dp/1982137452/ref=sr_1_8?keywords=fiction+books&qid=1639629572&sr=8-8
Dava Shastri's Last Day,$13.99,4.1 out of 5 stars,https://www.amazon.com/Dava-Shastris-Last-Kirthana-Ramisetti-ebook/dp/B091PRWYTS/ref=sr_1_9?keywords=fiction+books&qid=1639629572&sr=8-9
Then She Was Gone: A Novel,$8.52,4.6 out of 5 stars,https://www.amazon.com/Then-She-Was-Gone-Novel/dp/1501154656/ref=sr_1_10?keywords=fiction+books&qid=1639629572&sr=8-10
The Four Winds: A Novel,$14.00,4.5 out of 5 stars,https://www.amazon.com/Four-Winds-Novel-Kristin-Hannah/dp/1250178606/ref=sr_1_11?keywords=fiction+books&qid=1639629572&sr=8-11
The Vanishing Half: A Novel,$17.45,4.4 out of 5 stars,https://www.amazon.com/Vanishing-Half-Novel-Brit-Bennett/dp/0525536299/ref=sr_1_12?keywords=fiction+books&qid=1639629572&sr=8-12
Where the Forest Meets the Stars,$6.99,4.5 out of 5 stars,https://www.amazon.com/Where-Forest-Meets-Glendy-Vanderah/dp/1503904911/ref=sr_1_13?keywords=fiction+books&qid=1639629572&sr=8-13
Pretty Things: A Novel,$0.00,4.3 out of 5 stars,https://www.amazon.com/Pretty-Things-A-Novel/dp/B082L4QF8N/ref=sr_1_14?keywords=fiction+books&qid=1639629572&sr=8-14
When We Believed in Mermaids: A Novel,$6.69,4.5 out of 5 stars,https://www.amazon.com/When-We-Believed-Mermaids-Novel/dp/1542004527/ref=sr_1_15?keywords=fiction+books&qid=1639629572&sr=8-15
The Orphan Collector: A Heroic Novel of Survival During the 1918 Influenza Pandemic,$8.70,4.5 out of 5 stars,https://www.amazon.com/Orphan-Collector-Ellen-Marie-Wiseman/dp/1496715861/ref=sr_1_16?keywords=fiction+books&qid=1639629572&sr=8-16
Twenty Three: A Mystery Thriller,$9.99,4.2 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A07793041O3B7GOG2DDHD&url=%2FTwenty-Three-Thriller-Murray-McDonald%2Fdp%2F1838190805%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dfiction%2Bbooks%26qid%3D1639629572%26sr%3D8-17-spons%26psc%3D1&qualifier=1639629572&id=7911418527326474&widgetName=sp_mtf
The Mountains We Climb,$2.99,5.0 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A10258102TJAF9UHV74RS&url=%2FMountains-We-Climb-Anthony-Baisden-ebook%2Fdp%2FB08VGCS984%2Fref%3Dsr_1_18_sspa%3Fkeywords%3Dfiction%2Bbooks%26qid%3D1639629572%26sr%3D8-18-spons%26psc%3D1&qualifier=1639629572&id=7911418527326474&widgetName=sp_mtf
The Giver of Stars: A Novel,$10.36,4.6 out of 5 stars,https://www.amazon.com/Giver-Stars-Novel-Jojo-Moyes/dp/0399562494/ref=sr_1_19?keywords=fiction+books&qid=1639629572&sr=8-19
Misjudged: A Legal Thriller (Sam Johnstone Book 1),$0.00,4.3 out of 5 stars,https://www.amazon.com/Misjudged-Legal-Thriller-Johnstone-Book-ebook/dp/B08HJNQC26/ref=sr_1_20?keywords=fiction+books&qid=1639629572&sr=8-20
The Dressmaker's Gift,$8.99,4.5 out of 5 stars,https://www.amazon.com/Dressmakers-Gift-Fiona-Valpy/dp/1542005132/ref=sr_1_21?keywords=fiction+books&qid=1639629572&sr=8-21
The French House: Gripping and heartbreaking French historical fiction,$3.99,4.3 out of 5 stars,https://www.amazon.com/French-House-Gripping-heartbreaking-historical-ebook/dp/B08QW8HBP5/ref=sr_1_22?keywords=fiction+books&qid=1639629572&sr=8-22
All the Ugly and Wonderful Things: A Novel,$8.59,4.4 out of 5 stars,https://www.amazon.com/All-Ugly-Wonderful-Things-Novel/dp/1250153964/ref=sr_1_23?keywords=fiction+books&qid=1639629572&sr=8-23
The Last Green Valley: A Novel,$0.00,4.6 out of 5 stars,https://www.amazon.com/Last-Green-Valley-Mark-Sullivan-ebook/dp/B07CGCTSNW/ref=sr_1_24?keywords=fiction+books&qid=1639629572&sr=8-24
Aftermath,$9.99,4.8 out of 5 stars,https://www.amazon.com/Aftermath-Terri-Blackstock-ebook/dp/B08BZ14BV7/ref=sr_1_25?keywords=fiction+books&qid=1639629572&sr=8-25
Ugly Love: A Novel,$10.19,4.7 out of 5 stars,https://www.amazon.com/Ugly-Love-Novel-Colleen-Hoover/dp/1476753180/ref=sr_1_26?keywords=fiction+books&qid=1639629572&sr=8-26
The Family Upstairs: A Novel,$12.99,4.4 out of 5 stars,https://www.amazon.com/Family-Upstairs-Novel-Lisa-Jewell-ebook/dp/B07P5HB99D/ref=sr_1_27?keywords=fiction+books&qid=1639629572&sr=8-27
Last Day,$0.00,4.3 out of 5 stars,https://www.amazon.com/Last-Day-Luanne-Rice-ebook/dp/B07R3QYGHY/ref=sr_1_28?keywords=fiction+books&qid=1639629572&sr=8-28
Beneath a Scarlet Sky: A Novel,$13.46,4.7 out of 5 stars,https://www.amazon.com/Beneath-Scarlet-Sky-Mark-Sullivan/dp/1503943372/ref=sr_1_29?keywords=fiction+books&qid=1639629572&sr=8-29
Bright Burning Things: A Novel,$18.08,4.0 out of 5 stars,https://www.amazon.com/Bright-Burning-Things-Lisa-Harding/dp/0063097141/ref=sr_1_30?keywords=fiction+books&qid=1639629572&sr=8-30
Foreign Deceit (David Wolf Mystery Thriller Series),$11.69,4.2 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A03600201KCUCOWAWUL41&url=%2FForeign-Deceit-David-Wolf-Carson%2Fdp%2F061595202X%2Fref%3Dsr_1_31_sspa%3Fkeywords%3Dfiction%2Bbooks%26qid%3D1639629572%26sr%3D8-31-spons%26psc%3D1&qualifier=1639629572&id=7911418527326474&widgetName=sp_mtf
The Wise Ass (The Claire Trilogy),$14.95,4.5 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0744111161HMISS6XM75&url=%2FWise-Ass-Claire-Trilogy%2Fdp%2F168433635X%2Fref%3Dsr_1_32_sspa%3Fkeywords%3Dfiction%2Bbooks%26qid%3D1639629572%26sr%3D8-32-spons%26psc%3D1&qualifier=1639629572&id=7911418527326474&widgetName=sp_mtf
45 Classic Tales - First Volume: First volume of the Seventh Book of the Series 365 tales for children and youth (365selections_07),$10.99,,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A07764172H4ZJM6V1MPRI&url=%2F45-Classic-Tales-children-365selections_07%2Fdp%2F1497475724%2Fref%3Dsr_1_33_sspa%3Fkeywords%3Dfiction%2Bbooks%26qid%3D1639629572%26sr%3D8-33-spons%26psc%3D1&qualifier=1639629572&id=7911418527326474&widgetName=sp_mtf
The Lincoln Highway: A Novel,$18.27,4.5 out of 5 stars,https://www.amazon.com/Lincoln-Highway-Novel-Amor-Towles/dp/0735222355/ref=sr_1_34?keywords=fiction+books&qid=1639629572&sr=8-34
