Book Name,Price,Rating,Link
Fence: Disarmed,$10.10,4.5 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A06328921FUSBLW9STZE1&url=%2FFence-Disarmed-Sarah-Rees-Brennan%2Fdp%2F0316429872%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dgraphic%2Bnovel%2Bbooks%26qid%3D1639629605%26sr%3D8-1-spons%26psc%3D1&qualifier=1639629606&id=1391771855364711&widgetName=sp_atf
The Baby-sitters Club Graphic Novels #1-7: A Graphix Collection: Full-Color Edition (The Baby-Sitters Club Graphix),$45.96,4.9 out of 5 stars,https://www.amazon.com/Baby-Sitters-Club-Graphic-Novels-1-7/dp/1338603639/ref=sr_1_2?keywords=graphic+novel+books&qid=1639629605&sr=8-2
Miles Morales: Shock Waves (Original Spider-Man Graphic Novel),$11.04,4.9 out of 5 stars,https://www.amazon.com/Miles-Morales-Original-Spider-Man-Graphic/dp/1338648039/ref=sr_1_3?keywords=graphic+novel+books&qid=1639629605&sr=8-3
Besties: Work It Out (The World of Click),$10.99,4.9 out of 5 stars,https://www.amazon.com/Besties-Work-Out-World-Click/dp/0358561914/ref=sr_1_4?keywords=graphic+novel+books&qid=1639629605&sr=8-4
Heartstopper: Volume 4: A Graphic Novel (4),$12.49,4.9 out of 5 stars,https://www.amazon.com/Heartstopper-4-Graphic-Novel/dp/1338617559/ref=sr_1_5?keywords=graphic+novel+books&qid=1639629605&sr=8-5
Twins: A Graphic Novel (Twins #1) (1),$11.04,4.8 out of 5 stars,https://www.amazon.com/Twins-1-Varian-Johnson/dp/133823613X/ref=sr_1_6?keywords=graphic+novel+books&qid=1639629605&sr=8-6
Allergic: A Graphic Novel,$11.69,4.7 out of 5 stars,https://www.amazon.com/Allergic-Megan-Wagner-Lloyd/dp/1338568906/ref=sr_1_7?keywords=graphic+novel+books&qid=1639629605&sr=8-7
"Awkward (Berrybrook Middle School, 1)",$9.34,4.7 out of 5 stars,https://www.amazon.com/Awkward-Berrybrook-Middle-Svetlana-Chmakova/dp/0316381306/ref=sr_1_8?keywords=graphic+novel+books&qid=1639629605&sr=8-8
Clash (A Click Graphic Novel),$10.96,4.8 out of 5 stars,https://www.amazon.com/Clash-Click-Graphic-Novel-Miller/dp/0358242193/ref=sr_1_9?keywords=graphic+novel+books&qid=1639629605&sr=8-9
Click (A Click Graphic Novel),$8.17,4.8 out of 5 stars,https://www.amazon.com/Click-Kayla-Miller/dp/1328911128/ref=sr_1_10?keywords=graphic+novel+books&qid=1639629605&sr=8-10
Noise: A graphic novel based on a true story,$9.99,3.9 out of 5 stars,https://www.amazon.com/Noise-graphic-novel-based-story/dp/1793189536/ref=sr_1_11?keywords=graphic+novel+books&qid=1639629605&sr=8-11
The Last Kids on Earth: The Monster Box (books 1-3),$20.43,4.8 out of 5 stars,https://www.amazon.com/Last-Kids-Earth-Monster-Box/dp/0451481089/ref=sr_1_12?keywords=graphic+novel+books&qid=1639629605&sr=8-12
Guts: A Graphic Novel,$5.90,4.8 out of 5 stars,https://www.amazon.com/Guts-Raina-Telgemeier/dp/0545852501/ref=sr_1_13?keywords=graphic+novel+books&qid=1639629605&sr=8-13
Did You Hear What Eddie Gein Done?,$25.07,4.8 out of 5 stars,https://www.amazon.com/Hear-What-Eddie-Gein-Done/dp/1949889041/ref=sr_1_14?keywords=graphic+novel+books&qid=1639629605&sr=8-14
Wings of Fire: The Dark Secret: A Graphic Novel (Wings of Fire Graphic Novel #4) (4),$7.44,4.9 out of 5 stars,https://www.amazon.com/Dark-Secret-Wings-Graphic-Novel/dp/1338344218/ref=sr_1_15?keywords=graphic+novel+books&qid=1639629605&sr=8-15
Baby-sitters Little Sister Graphic Novels #1-4: A Graphix Collection (Adapted edition) (Baby-Sitters Little Sister Graphix),$31.79,5.0 out of 5 stars,https://www.amazon.com/Baby-sitters-Little-Sister-Graphic-Novels/dp/1338790927/ref=sr_1_16?keywords=graphic+novel+books&qid=1639629605&sr=8-16
The Iliad,$14.49,4.8 out of 5 stars,https://www.amazon.com/Iliad-Gareth-Hinds/dp/0763696633/ref=sr_1_17?keywords=graphic+novel+books&qid=1639629605&sr=8-17
