Book Name,Price,Rating,Link
History of the World Map by Map,$30.79,4.8 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A10172642KYZTAA0VTCU2&url=%2FHistory-World-Map-DK%2Fdp%2F1465475850%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dhistory%2Bbooks%26qid%3D1639629590%26sr%3D8-1-spons%26psc%3D1&qualifier=1639629590&id=3949718989816964&widgetName=sp_atf
"The Great Book of Ireland: Interesting Stories, Irish History & Random Facts About Ireland (History & Fun Facts)",$13.38,4.6 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0404795LRHQKAVXNDNQ&url=%2FGreat-Book-Ireland-Interesting-Stories%2Fdp%2F1798649594%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dhistory%2Bbooks%26qid%3D1639629590%26sr%3D8-2-spons%26psc%3D1&qualifier=1639629590&id=3949718989816964&widgetName=sp_atf
The Great Book of Colorado: The Crazy History of Colorado with Amazing Random Facts & Trivia (A Trivia Nerds Guide to the History of the United States),$11.95,4.4 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A020197429ITHLV3R5FRC&url=%2FGreat-Book-Colorado-History-Amazing%2Fdp%2F1648450466%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dhistory%2Bbooks%26qid%3D1639629590%26sr%3D8-3-spons%26psc%3D1&qualifier=1639629590&id=3949718989816964&widgetName=sp_atf
The Great Book of Badass Women: 15 Fearless and Inspirational Women that Changed History,$11.50,4.7 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0665755KP01GT8U70WV&url=%2FGreat-Book-Badass-Women-Inspirational%2Fdp%2F1648450660%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dhistory%2Bbooks%26qid%3D1639629590%26sr%3D8-4-spons%26psc%3D1&qualifier=1639629590&id=3949718989816964&widgetName=sp_atf
National Geographic Ultimate Visual History of the World: The Story of Humankind From Prehistory to Modern Times,$38.45,4.5 out of 5 stars,https://www.amazon.com/National-Geographic-Ultimate-Visual-History/dp/1426221894/ref=sr_1_5?keywords=history+books&qid=1639629590&sr=8-5
America's Heroes and History: A Brian Kilmeade Collection,$39.96,5.0 out of 5 stars,https://www.amazon.com/Americas-Heroes-History-Kilmeade-Collection/dp/0593421175/ref=sr_1_6?keywords=history+books&qid=1639629590&sr=8-6
The Storyteller: Tales of Life and Music,$17.99,4.8 out of 5 stars,https://www.amazon.com/Storyteller-Tales-Life-Music/dp/0063076098/ref=sr_1_7?keywords=history+books&qid=1639629590&sr=8-7
Battles that Changed History,$17.67,4.8 out of 5 stars,https://www.amazon.com/Battles-that-Changed-History-DK/dp/146547384X/ref=sr_1_8?keywords=history+books&qid=1639629590&sr=8-8
The New York Times Book Review: 125 Years of Literary History,$34.73,5.0 out of 5 stars,https://www.amazon.com/New-York-Times-Book-Review/dp/0593234618/ref=sr_1_9?keywords=history+books&qid=1639629590&sr=8-9
Travels with George: In Search of Washington and His Legacy,$20.30,4.3 out of 5 stars,https://www.amazon.com/Travels-George-Search-Washington-Legacy/dp/0525562176/ref=sr_1_10?keywords=history+books&qid=1639629590&sr=8-10
