Book Name,Price,Rating,Link
The Sleep Experiment: An edge-of-your-seat psychological thriller (World's Scariest Legends),$7.95,4.3 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A103485628J41T74G3IJ4&url=%2FSleep-Experiment-edge-your-seat-psychological%2Fdp%2F1988091381%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dhorror%2Bbooks%26qid%3D1639629572%26sr%3D8-1-spons%26psc%3D1&qualifier=1639629572&id=4072508839518175&widgetName=sp_atf
Splatterfest,$0.00,4.8 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A03177571UWU56CAQ5YX5&url=%2FSplatterfest-Robbie-Dorman-ebook%2Fdp%2FB08MJHHTCF%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dhorror%2Bbooks%26qid%3D1639629572%26sr%3D8-2-spons%26psc%3D1&qualifier=1639629572&id=4072508839518175&widgetName=sp_atf
Dracula: Deluxe Edition,$29.95,4.3 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A1032596219N8472ZF4BN&url=%2FDracula-Deluxe-Bram-Stoker%2Fdp%2F1454944218%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dhorror%2Bbooks%26qid%3D1639629572%26sr%3D8-3-spons%26psc%3D1&qualifier=1639629572&id=4072508839518175&widgetName=sp_atf
Night Dreams and Night Screams: Chilling Tales of Crime and Horror,$7.99,1.0 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A05040641CDO305BBS9L6&url=%2FNight-Dreams-Screams-Chilling-Horror%2Fdp%2FB087S9NVTF%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dhorror%2Bbooks%26qid%3D1639629572%26sr%3D8-4-spons%26psc%3D1&qualifier=1639629572&id=4072508839518175&widgetName=sp_atf
Cunning Folk: A Folk Horror Thriller from the Author of No One Gets Out Alive and The Ritual,$15.99,4.3 out of 5 stars,https://www.amazon.com/Cunning-Folk-Horror-Thriller-Author/dp/183837891X/ref=sr_1_5?keywords=horror+books&qid=1639629572&sr=8-5
The Whisper Man: A Novel,$11.54,4.4 out of 5 stars,https://www.amazon.com/Whisper-Man-Novel-Alex-North/dp/1250318009/ref=sr_1_6?keywords=horror+books&qid=1639629572&sr=8-6
The Sleep Experiment: An edge-of-your-seat psychological thriller (World's Scariest Legends),$7.95,4.3 out of 5 stars,https://www.amazon.com/Sleep-Experiment-edge-your-seat-psychological/dp/1988091381/ref=sr_1_7?keywords=horror+books&qid=1639629572&sr=8-7
The Haunting of Hill House,$0.00,4.3 out of 5 stars,https://www.amazon.com/The-Haunting-of-Hill-House-audiobook/dp/B0045XRA1K/ref=sr_1_8?keywords=horror+books&qid=1639629572&sr=8-8
The Demonic (Supernatural Horror Novel Series),$13.95,4.2 out of 5 stars,https://www.amazon.com/Demonic-Lee-Mountford/dp/1974288374/ref=sr_1_9?keywords=horror+books&qid=1639629572&sr=8-9
The Book of Accidents: A Novel,$13.99,4.3 out of 5 stars,https://www.amazon.com/Book-Accidents-Novel-Chuck-Wendig-ebook/dp/B08LK4CYKP/ref=sr_1_10?keywords=horror+books&qid=1639629572&sr=8-10
