Book Name,Price,Rating,Link
"The 5-Minute Gratitude Journal: Give Thanks, Practice Positivity, Find Joy",$10.79,4.7 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A00109661QUA7YZGG5JD1&url=%2F5-Minute-Gratitude-Journal-Practice-Positivity%2Fdp%2F1647397197%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dmindset%2Bbooks%26qid%3D1639629572%26sr%3D8-1-spons%26psc%3D1&qualifier=1639629572&id=2853059899355624&widgetName=sp_atf
The Global Thought Leader Mindset: Serie 1,$0.00,5.0 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A04967393RMKRLHJUI621&url=%2FGlobal-Thought-Leader-Mindset-Serie-ebook%2Fdp%2FB09GZNT7P8%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dmindset%2Bbooks%26qid%3D1639629572%26sr%3D8-2-spons%26psc%3D1&qualifier=1639629572&id=2853059899355624&widgetName=sp_atf
"Leverage Your Mindset: Overcome Limiting Beliefs and Amplify Your Life!: Be Less Stressed, Be Happier, and Be More Mindful",$9.99,4.7 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09358291G3YDCT9Q97DV&url=%2FLeverage-Your-Mindset-Overcome-Limiting-ebook%2Fdp%2FB08BX3GTFX%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dmindset%2Bbooks%26qid%3D1639629572%26sr%3D8-3-spons%26psc%3D1&qualifier=1639629572&id=2853059899355624&widgetName=sp_atf
"Self-Love Workbook for Women: Release Self-Doubt, Build Self-Compassion, and Embrace Who You Are (Self-Help Workbooks for Women)",$9.59,4.7 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A10215902ZR7COA7ECJA6&url=%2FSelf-Love-Workbook-Women-Self-Doubt-Self-Compassion%2Fdp%2F1647397294%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dmindset%2Bbooks%26qid%3D1639629572%26sr%3D8-4-spons%26psc%3D1&qualifier=1639629572&id=2853059899355624&widgetName=sp_atf
Mindset: The New Psychology of Success,$8.55,4.6 out of 5 stars,https://www.amazon.com/Mindset-Psychology-Carol-S-Dweck/dp/0345472322/ref=sr_1_5?keywords=mindset+books&qid=1639629572&sr=8-5
Mindset - Updated Edition: Changing The Way You think To Fulfil Your Potential,$20.38,4.6 out of 5 stars,https://www.amazon.com/Mindset-Updated-Changing-Fulfil-Potential/dp/147213995X/ref=sr_1_6?keywords=mindset+books&qid=1639629572&sr=8-6
"Change Your Mindset, Change Your Life: Lessons of Love, Leadership and Transformation",$12.95,4.9 out of 5 stars,https://www.amazon.com/Change-Your-Mindset-Life-Transformation/dp/1734155507/ref=sr_1_7?keywords=mindset+books&qid=1639629572&sr=8-7
"Ninja Life Hacks Growth Mindset 8 Book Box Set (Books 9-16: Perfect, Money, Anxious, Gritty, Dishonest, Shy, Unplugged, Diversity)",$33.94,4.8 out of 5 stars,https://www.amazon.com/Ninja-Hacks-Growth-Mindset-Books/dp/1951056353/ref=sr_1_8?keywords=mindset+books&qid=1639629572&sr=8-8
"The Positive Shift: Mastering Mindset to Improve Happiness, Health, and Longevity",$17.95,4.6 out of 5 stars,https://www.amazon.com/Positive-Shift-Mastering-Happiness-Longevity/dp/1946885444/ref=sr_1_9?keywords=mindset+books&qid=1639629572&sr=8-9
"Alpha Mindset -A Guide For Men: How To Build Self-Confidence, Dream Big, Overcome Fear, And Build Better Relationships",$13.99,4.6 out of 5 stars,https://www.amazon.com/Alpha-Mindset-Guide-Self-Confidence-Relationships/dp/B0942T89ZM/ref=sr_1_10?keywords=mindset+books&qid=1639629572&sr=8-10
