Book Name,Price,Rating,Link
TA LĘ: Book 1: Knowledge,$14.00,3.8 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A03639773GDABJ46QXOZJ&url=%2FTA-L%25C4%2598-Book-1-Knowledge%2Fdp%2F1777559413%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dmystery%2Bbooks%26qid%3D1639629572%26sr%3D8-1-spons%26psc%3D1&qualifier=1639629572&id=274716633994533&widgetName=sp_atf
The Porch That Told the Truth,$17.25,4.2 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A06240702M5LJ9ER0UWL7&url=%2FPorch-That-Told-Truth%2Fdp%2F0578501686%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dmystery%2Bbooks%26qid%3D1639629572%26sr%3D8-2-spons%26psc%3D1&qualifier=1639629572&id=274716633994533&widgetName=sp_atf
Path of Bones: A Cassie Quinn Mystery,$11.99,4.4 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A00311622BODHCBV3ED3T&url=%2FPath-Bones-Cassie-Quinn-Mystery%2Fdp%2FB08MSLXBHY%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dmystery%2Bbooks%26qid%3D1639629572%26sr%3D8-3-spons%26psc%3D1&qualifier=1639629572&id=274716633994533&widgetName=sp_atf
FLOTSAM: A Divemaster Ricky Mystery (Book 1),$0.00,4.8 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A094110815BM5WGY0ZHLN&url=%2FFLOTSAM-Divemaster-Ricky-Mystery-Book-ebook%2Fdp%2FB09KPZVJ81%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dmystery%2Bbooks%26qid%3D1639629572%26sr%3D8-4-spons%26psc%3D1&qualifier=1639629572&id=274716633994533&widgetName=sp_atf
The Silent Patient,$12.99,4.5 out of 5 stars,https://www.amazon.com/Silent-Patient-Alex-Michaelides/dp/1250301696/ref=sr_1_5?keywords=mystery+books&qid=1639629572&sr=8-5
The Big Book of Victorian Mysteries,$23.48,4.6 out of 5 stars,https://www.amazon.com/Big-Book-Victorian-Mysteries/dp/0593311027/ref=sr_1_6?keywords=mystery+books&qid=1639629572&sr=8-6
The Last Thing He Told Me: A Novel,$14.00,4.3 out of 5 stars,https://www.amazon.com/Last-Thing-He-Told-Me/dp/1501171348/ref=sr_1_7?keywords=mystery+books&qid=1639629572&sr=8-7
The Dark Hours,$14.99,4.7 out of 5 stars,https://www.amazon.com/Dark-Hours-Michael-Connelly-ebook/dp/B08WLRG1L2/ref=sr_1_8?keywords=mystery+books&qid=1639629572&sr=8-8
The Thursday Murder Club: A Novel (A Thursday Murder Club Mystery),$13.39,4.3 out of 5 stars,https://www.amazon.com/Thursday-Murder-Club-Novel-Mystery/dp/1984880985/ref=sr_1_9?keywords=mystery+books&qid=1639629572&sr=8-9
The Last Flight: A Novel,$9.48,4.4 out of 5 stars,https://www.amazon.com/Last-Flight-Novel-Julie-Clark-ebook/dp/B083ZLK9PL/ref=sr_1_10?keywords=mystery+books&qid=1639629572&sr=8-10
Where the Crawdads Sing,$9.98,4.8 out of 5 stars,https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens/dp/0735219109/ref=sr_1_11?keywords=mystery+books&qid=1639629572&sr=8-11
The Bookshop Murder: An absolutely gripping cozy mystery (A Flora Steele Mystery Book 1),$0.00,4.2 out of 5 stars,https://www.amazon.com/Bookshop-Murder-absolutely-gripping-mystery-ebook/dp/B094XPQD8N/ref=sr_1_12?keywords=mystery+books&qid=1639629572&sr=8-12
The Girl from Silent Lake: A totally gripping and heart-pounding crime thriller (Detective Kay Sharp Book 1),$0.00,4.5 out of 5 stars,https://www.amazon.com/Girl-Silent-Lake-heart-pounding-Detective-ebook/dp/B08P1Z9HZ8/ref=sr_1_13?keywords=mystery+books&qid=1639629572&sr=8-13
The Winter Girls: A totally gripping crime thriller (Agent Tori Hunter Book 2),$3.99,4.5 out of 5 stars,https://www.amazon.com/Winter-Girls-totally-gripping-thriller-ebook/dp/B08P7T31KD/ref=sr_1_14?keywords=mystery+books&qid=1639629572&sr=8-14
The Shadow Box,$0.00,4.4 out of 5 stars,https://www.amazon.com/Shadow-Box-Luanne-Rice-ebook/dp/B082SX9CXQ/ref=sr_1_15?keywords=mystery+books&qid=1639629572&sr=8-15
Never: A Novel,$15.99,4.3 out of 5 stars,https://www.amazon.com/Never-Novel-Ken-Follett-ebook/dp/B08WCFQVR8/ref=sr_1_16?keywords=mystery+books&qid=1639629572&sr=8-16
Foreign Deceit (David Wolf Mystery Thriller Series),$11.69,4.2 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A03600201KCUCOWAWUL41&url=%2FForeign-Deceit-David-Wolf-Carson%2Fdp%2F061595202X%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dmystery%2Bbooks%26qid%3D1639629572%26sr%3D8-17-spons%26psc%3D1&qualifier=1639629572&id=274716633994533&widgetName=sp_mtf
The Other Emily,$0.00,4.2 out of 5 stars,https://www.amazon.com/Other-Emily-Dean-Koontz-ebook/dp/B08HRQ44JJ/ref=sr_1_18?keywords=mystery+books&qid=1639629572&sr=8-18
