Book Name,Price,Rating,Link
American Schism: How the Two Enlightenments Hold the Secret to Healing our Nation,$15.99,4.5 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0032819FO9DI34QVP80&url=%2FAmerican-Schism-Enlightenments-Secret-Healing%2Fdp%2F1626348618%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dpolitics%2Bbooks%26qid%3D1639629619%26sr%3D8-1-spons%26psc%3D1&qualifier=1639629619&id=3128932303309919&widgetName=sp_atf
The Politics Book: Big Ideas Simply Explained,$12.99,4.7 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A068443819LISHMIGC1NK&url=%2FPolitics-Book-Ideas-Simply-Explained%2Fdp%2F1465473904%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dpolitics%2Bbooks%26qid%3D1639629619%26sr%3D8-2-spons%26psc%3D1&qualifier=1639629619&id=3128932303309919&widgetName=sp_atf
Comparative Government and Politics: Everything you always wanted to know about…,$36.95,4.4 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07800305KT78C3S8F1M&url=%2FComparative-Government-Politics-Everything-always%2Fdp%2F1947556584%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dpolitics%2Bbooks%26qid%3D1639629619%26sr%3D8-3-spons%26psc%3D1&qualifier=1639629619&id=3128932303309919&widgetName=sp_atf
So Simple Even A Politician Can Understand: Simple ideas for seemingly complex political issues,$2.99,4.4 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A012310624HHYXTCUVSY8&url=%2FSimple-Even-Politician-Can-Understand-ebook%2Fdp%2FB0992JTZYP%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dpolitics%2Bbooks%26qid%3D1639629619%26sr%3D8-4-spons%26psc%3D1&qualifier=1639629619&id=3128932303309919&widgetName=sp_atf
Almanac of American Politics 2022,$94.00,4.9 out of 5 stars,https://www.amazon.com/Almanac-American-Politics-Richard-Cohen/dp/195237409X/ref=sr_1_5?keywords=politics+books&qid=1639629619&sr=8-5
"What You Should Know About Politics . . . But Don't, Fourth Edition: A Nonpartisan Guide to the Issues That Matter",$15.19,4.6 out of 5 stars,https://www.amazon.com/What-Should-About-Politics-Fourth/dp/195069125X/ref=sr_1_6?keywords=politics+books&qid=1639629619&sr=8-6
The Politics Book: Big Ideas Simply Explained,$12.99,4.7 out of 5 stars,https://www.amazon.com/Politics-Book-Ideas-Simply-Explained/dp/1465473904/ref=sr_1_7?keywords=politics+books&qid=1639629619&sr=8-7
Betrayal: The Final Act of the Trump Show,$20.36,4.7 out of 5 stars,https://www.amazon.com/Betrayal-Final-Act-Trump-Show/dp/059318632X/ref=sr_1_8?keywords=politics+books&qid=1639629619&sr=8-8
Peril,$15.00,4.5 out of 5 stars,https://www.amazon.com/Peril-Bob-Woodward/dp/1982182911/ref=sr_1_9?keywords=politics+books&qid=1639629619&sr=8-9
American Marxism,$14.00,4.9 out of 5 stars,https://www.amazon.com/American-Marxism-Mark-R-Levin/dp/150113597X/ref=sr_1_10?keywords=politics+books&qid=1639629619&sr=8-10
"Blowout: Corrupted Democracy, Rogue State Russia, and the Richest, Most Destructive Industry on Earth",$12.99,4.8 out of 5 stars,https://www.amazon.com/Blowout-Corrupted-Democracy-Destructive-Industry-ebook/dp/B07Q18953R/ref=sr_1_11?keywords=politics+books&qid=1639629619&sr=8-11
The Righteous Mind: Why Good People Are Divided by Politics and Religion,$10.82,4.6 out of 5 stars,https://www.amazon.com/Righteous-Mind-Divided-Politics-Religion/dp/0307455777/ref=sr_1_12?keywords=politics+books&qid=1639629619&sr=8-12
In Trump Time: My Journal of America’s Plague Year,$22.99,4.9 out of 5 stars,https://www.amazon.com/Trump-Time-Journal-Americas-Plague/dp/1737478501/ref=sr_1_13?keywords=politics+books&qid=1639629619&sr=8-13
Evil Geniuses: The Unmaking of America: A Recent History,$14.29,4.7 out of 5 stars,https://www.amazon.com/Evil-Geniuses-Unmaking-America-History/dp/1984801341/ref=sr_1_14?keywords=politics+books&qid=1639629619&sr=8-14
The Soul of America: The Battle for Our Better Angels,$10.88,4.7 out of 5 stars,https://www.amazon.com/Soul-America-Battle-Better-Angels/dp/0399589821/ref=sr_1_15?keywords=politics+books&qid=1639629619&sr=8-15
The Authority of the Court and the Peril of Politics,$16.95,4.4 out of 5 stars,https://www.amazon.com/Authority-Court-Peril-Politics/dp/0674269365/ref=sr_1_16?keywords=politics+books&qid=1639629619&sr=8-16
Facts Don't Care about Your Feelings,$12.99,4.7 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A09374622NZXTCEI0RVOA&url=%2FFacts-Dont-Care-about-Feelings%2Fdp%2F1949673162%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dpolitics%2Bbooks%26qid%3D1639629619%26sr%3D8-17-spons%26psc%3D1&qualifier=1639629619&id=3128932303309919&widgetName=sp_mtf
I Alone Can Fix It: Donald J. Trump's Catastrophic Final Year,$17.56,4.7 out of 5 stars,https://www.amazon.com/Alone-Can-Fix-Donald-Catastrophic/dp/0593298942/ref=sr_1_18?keywords=politics+books&qid=1639629619&sr=8-18
American Schism: How the Two Enlightenments Hold the Secret to Healing our Nation,$15.99,4.5 out of 5 stars,https://www.amazon.com/American-Schism-Enlightenments-Secret-Healing/dp/1626348618/ref=sr_1_19?keywords=politics+books&qid=1639629619&sr=8-19
Charlie Brown's America: The Popular Politics of Peanuts,$28.00,4.5 out of 5 stars,https://www.amazon.com/Charlie-Browns-America-Popular-Politics/dp/0190090464/ref=sr_1_20?keywords=politics+books&qid=1639629619&sr=8-20
We Will Not Be Silenced: Responding Courageously to Our Culture's Assault on Christianity,$14.81,4.8 out of 5 stars,https://www.amazon.com/Will-Not-Silenced-Courageously-Christianity/dp/0736981799/ref=sr_1_21?keywords=politics+books&qid=1639629619&sr=8-21
"LBJ's 1968: Power, Politics, and the Presidency in America's Year of Upheaval",$19.78,4.7 out of 5 stars,https://www.amazon.com/LBJs-1968-Politics-Presidency-Americas/dp/1107193036/ref=sr_1_22?keywords=politics+books&qid=1639629619&sr=8-22
Bending the Arc: My Journey from Prison to Politics,$24.99,5.0 out of 5 stars,https://www.amazon.com/Bending-Arc-Journey-Prison-Politics/dp/1541646304/ref=sr_1_23?keywords=politics+books&qid=1639629619&sr=8-23
The Politics Industry: How Political Innovation Can Break Partisan Gridlock and Save Our Democracy,$24.60,4.6 out of 5 stars,https://www.amazon.com/Politics-Industry-Political-Innovation-Democracy/dp/1633699234/ref=sr_1_24?keywords=politics+books&qid=1639629619&sr=8-24
"The Medici: Portraits and Politics, 1512-1570",$45.41,4.8 out of 5 stars,https://www.amazon.com/Medici-Portraits-Politics-1512-1570/dp/1588397300/ref=sr_1_25?keywords=politics+books&qid=1639629619&sr=8-25
Landslide: The Final Days of the Trump Presidency,$0.00,4.3 out of 5 stars,https://www.amazon.com/Landslide-Final-Days-Trump-Presidency/dp/B097F6CZP6/ref=sr_1_26?keywords=politics+books&qid=1639629619&sr=8-26
How Fascism Works: The Politics of Us and Them,$9.39,4.7 out of 5 stars,https://www.amazon.com/How-Fascism-Works-Politics-Them/dp/0525511857/ref=sr_1_27?keywords=politics+books&qid=1639629619&sr=8-27
Mending America's Political Divide: People Over Partisan Politics,$12.95,4.2 out of 5 stars,https://www.amazon.com/Mending-Americas-Political-Divide-Partisan/dp/B0875XB165/ref=sr_1_28?keywords=politics+books&qid=1639629619&sr=8-28
