Book Name,Price,Rating,Link
Devil's Work: Dark (The Bedlam Horde MC Book 3),$0.00,4.8 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A008068918SQ0XOVVCQGP&url=%2FDevils-Work-Dark-Bedlam-Horde-ebook%2Fdp%2FB08XWX41MQ%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dromance%2Bbooks%26qid%3D1639629589%26sr%3D8-1-spons%26psc%3D1&qualifier=1639629589&id=945180693525025&widgetName=sp_atf
Grand Escape (Grand Love Book 1),$3.99,4.2 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01442132NI86DC4MCP8A&url=%2FGrand-Escape-Love-Book-ebook%2Fdp%2FB09G3H5YQB%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dromance%2Bbooks%26qid%3D1639629589%26sr%3D8-2-spons%26psc%3D1&qualifier=1639629589&id=945180693525025&widgetName=sp_atf
Velvet Devil: A Russian Mafia Romance (Vorobev Bratva Book 1),$0.00,4.6 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A03683811TSLUGKJZ6F1Y&url=%2FVelvet-Devil-Russian-Romance-Vorobev-ebook%2Fdp%2FB09MYFFQHW%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dromance%2Bbooks%26qid%3D1639629589%26sr%3D8-3-spons%26psc%3D1&qualifier=1639629589&id=945180693525025&widgetName=sp_atf
Fractured Hearts: A Fractured Rock Star Romance,$0.00,4.6 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A06015052OAZBJ0PNDYUA&url=%2FFractured-Hearts-Rock-Star-Romance-ebook%2Fdp%2FB08C4ZP6B9%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dromance%2Bbooks%26qid%3D1639629589%26sr%3D8-4-spons%26psc%3D1&qualifier=1639629589&id=945180693525025&widgetName=sp_atf
It Ends with Us: A Novel,$9.47,4.7 out of 5 stars,https://www.amazon.com/Ends-Us-Novel-Colleen-Hoover/dp/1501110365/ref=sr_1_5?keywords=romance+books&qid=1639629589&sr=8-5
A Dance with the Fae Prince (Married to Magic),$0.00,4.4 out of 5 stars,https://www.amazon.com/Dance-Fae-Rogue-Married-Magic-ebook/dp/B08MQ1YPMZ/ref=sr_1_6?keywords=romance+books&qid=1639629589&sr=8-6
"Holiday Ever After: One Snowy Night, Holiday Wishes & Mistletoe in Paradise",$6.99,4.4 out of 5 stars,https://www.amazon.com/Holiday-Ever-After-Mistletoe-Paradise-ebook/dp/B08THSDJDP/ref=sr_1_7?keywords=romance+books&qid=1639629589&sr=8-7
The Love Hypothesis,$11.28,4.6 out of 5 stars,https://www.amazon.com/Love-Hypothesis-Ali-Hazelwood/dp/0593336828/ref=sr_1_8?keywords=romance+books&qid=1639629589&sr=8-8
In Five Years: A Novel,$11.06,4.4 out of 5 stars,https://www.amazon.com/Five-Years-Novel-Rebecca-Serle/dp/1982137452/ref=sr_1_9?keywords=romance+books&qid=1639629589&sr=8-9
The Matzah Ball: A Novel,$13.71,4.2 out of 5 stars,https://www.amazon.com/Matzah-Ball-Novel-Jean-Meltzer/dp/0778311589/ref=sr_1_10?keywords=romance+books&qid=1639629589&sr=8-10
Sleigh Bells Ring: A Christmas Romance Novel,$1.99,4.7 out of 5 stars,https://www.amazon.com/Sleigh-Bells-Ring-RaeAnne-Thayne-ebook/dp/B08SKF1F17/ref=sr_1_11?keywords=romance+books&qid=1639629589&sr=8-11
"Hooked: A Dark, Contemporary Romance (Never After Series)",$16.14,4.5 out of 5 stars,https://www.amazon.com/Hooked-Contemporary-Romance-Never-After/dp/1737508370/ref=sr_1_12?keywords=romance+books&qid=1639629589&sr=8-12
A Fate of Wrath & Flame (Fate & Flame Book 1),$5.99,4.6 out of 5 stars,https://www.amazon.com/Fate-Wrath-Flame-Book-ebook/dp/B08YD7GY64/ref=sr_1_13?keywords=romance+books&qid=1639629589&sr=8-13
The Deal (Off-Campus Book 1),$0.00,4.6 out of 5 stars,https://www.amazon.com/Deal-Off-Campus-Book-1-ebook/dp/B00TG1CZFC/ref=sr_1_14?keywords=romance+books&qid=1639629589&sr=8-14
Black Sunshine: A Dark Vampire Romance (Dark Eyes Book 1),$0.00,4.3 out of 5 stars,https://www.amazon.com/Black-Sunshine-Dark-Vampire-Romance-ebook/dp/B08ZYWCRXM/ref=sr_1_15?keywords=romance+books&qid=1639629589&sr=8-15
Riverbend Gap (A Riverbend Romance),$12.65,4.6 out of 5 stars,https://www.amazon.com/Riverbend-Gap-Romance-Denise-Hunter/dp/0785240500/ref=sr_1_16?keywords=romance+books&qid=1639629589&sr=8-16
Temptation (The Hunted Series Book 1),$0.00,4.3 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0350613RHTR7HULYSK7&url=%2FTemptation-Hunted-Book-Ivy-Smoak-ebook%2Fdp%2FB00VVG6LMI%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dromance%2Bbooks%26qid%3D1639629589%26sr%3D8-17-spons%26psc%3D1&qualifier=1639629589&id=945180693525025&widgetName=sp_mtf
A Ruin of Roses (Deliciously Dark Fairytales),$13.08,4.4 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0417262X30JT0RMVHZ9&url=%2FRuin-Roses-Deliciously-Dark-Fairytales%2Fdp%2F1955757097%2Fref%3Dsr_1_18_sspa%3Fkeywords%3Dromance%2Bbooks%26qid%3D1639629589%26sr%3D8-18-spons%26psc%3D1&qualifier=1639629589&id=945180693525025&widgetName=sp_mtf
Made of Steel,$0.00,4.2 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A09640831N6XMLHS7RI5B&url=%2FMade-Steel-Romantic-Ivy-Smoak-ebook%2Fdp%2FB06XH29X7V%2Fref%3Dsr_1_19_sspa%3Fkeywords%3Dromance%2Bbooks%26qid%3D1639629589%26sr%3D8-19-spons%26psc%3D1&qualifier=1639629589&id=945180693525025&widgetName=sp_mtf
The Unhoneymooners,$8.44,4.5 out of 5 stars,https://www.amazon.com/Unhoneymooners-Christina-Lauren/dp/1501128035/ref=sr_1_20?keywords=romance+books&qid=1639629589&sr=8-20
The Mixtape,$0.00,4.5 out of 5 stars,https://www.amazon.com/Mixtape-Brittainy-Cherry-ebook/dp/B08LD2HT9F/ref=sr_1_21?keywords=romance+books&qid=1639629589&sr=8-21
King of Battle and Blood (Adrian X Isolde Book 1),$5.24,4.4 out of 5 stars,https://www.amazon.com/King-Battle-Blood-Adrian-Isolde-ebook/dp/B09B1NMGLQ/ref=sr_1_22?keywords=romance+books&qid=1639629589&sr=8-22
Beach Read,$7.35,4.4 out of 5 stars,https://www.amazon.com/Beach-Read-Emily-Henry/dp/1984806734/ref=sr_1_23?keywords=romance+books&qid=1639629589&sr=8-23
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),$26.95,4.6 out of 5 stars,https://www.amazon.com/Fifty-Shades-Trilogy-Darker-Freed/dp/034580404X/ref=sr_1_24?keywords=romance+books&qid=1639629589&sr=8-24
The Singing Trees: A Novel,$0.00,4.5 out of 5 stars,https://www.amazon.com/Singing-Trees-Novel-Boo-Walker-ebook/dp/B08MZSNWMZ/ref=sr_1_25?keywords=romance+books&qid=1639629589&sr=8-25
The Return,$11.99,4.6 out of 5 stars,https://www.amazon.com/Return-Nicholas-Sparks-ebook/dp/B082SKTFP5/ref=sr_1_26?keywords=romance+books&qid=1639629589&sr=8-26
Verity,$13.08,4.6 out of 5 stars,https://www.amazon.com/Verity-Colleen-Hoover/dp/1538724731/ref=sr_1_27?keywords=romance+books&qid=1639629589&sr=8-27
"Broken French: A widowed, billionaire, single dad romance",$4.99,4.6 out of 5 stars,https://www.amazon.com/Broken-French-widowed-billionaire-romance-ebook/dp/B08YP98YRD/ref=sr_1_28?keywords=romance+books&qid=1639629589&sr=8-28
Go Tell the Bees That I Am Gone: A Novel (Outlander),$21.60,4.7 out of 5 stars,https://www.amazon.com/Tell-Bees-That-Gone-Outlander/dp/1101885688/ref=sr_1_29?keywords=romance+books&qid=1639629589&sr=8-29
The Wish,$14.00,4.8 out of 5 stars,https://www.amazon.com/Wish-Nicholas-Sparks/dp/1538728621/ref=sr_1_30?keywords=romance+books&qid=1639629589&sr=8-30
The Seven Husbands of Evelyn Hugo: A Novel,$0.00,4.6 out of 5 stars,https://www.amazon.com/Seven-Husbands-of-Evelyn-Hugo-audiobook/dp/B071Z8Z5C7/ref=sr_1_31?keywords=romance+books&qid=1639629589&sr=8-31
When You Saved Me: A Romance-ish Novel (Whitestone Veil Book 1),$9.99,,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A053447523U407E8HL22S&url=%2FWhen-You-Saved-Romance-ish-Whitestone-ebook%2Fdp%2FB098L2SY58%2Fref%3Dsr_1_32_sspa%3Fkeywords%3Dromance%2Bbooks%26qid%3D1639629589%26sr%3D8-32-spons%26psc%3D1&qualifier=1639629589&id=945180693525025&widgetName=sp_mtf
Untouchable (Empire High Book 1),$0.00,4.5 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A004242520X608EPF1CKE&url=%2FEmpire-High-Untouchables-Ivy-Smoak-ebook%2Fdp%2FB08CD2MT1L%2Fref%3Dsr_1_33_sspa%3Fkeywords%3Dromance%2Bbooks%26qid%3D1639629589%26sr%3D8-33-spons%26psc%3D1&qualifier=1639629589&id=945180693525025&widgetName=sp_mtf
Deer Camp Love,$0.00,4.8 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A023214310F4J2HWH1FW5&url=%2FDeer-Camp-Love-Hillary-Kigar-ebook%2Fdp%2FB08CRMKDN6%2Fref%3Dsr_1_34_sspa%3Fkeywords%3Dromance%2Bbooks%26qid%3D1639629589%26sr%3D8-34-spons%26psc%3D1&qualifier=1639629589&id=945180693525025&widgetName=sp_mtf
Soar High (Sons of the Survivalist Book 4),$5.99,4.8 out of 5 stars,https://www.amazon.com/Soar-High-Sons-Survivalist-Book-ebook/dp/B09M995D2D/ref=sr_1_35?keywords=romance+books&qid=1639629589&sr=8-35
Dream Keeper (Dream Team Book 4),$6.99,4.6 out of 5 stars,https://www.amazon.com/Dream-Keeper-Team-Book-ebook/dp/B08Y8M6ZF7/ref=sr_1_36?keywords=romance+books&qid=1639629589&sr=8-36
A Court of Mist and Fury (A Court of Thorns and Roses Book 2),$9.99,4.9 out of 5 stars,https://www.amazon.com/Court-Mist-Fury-Thorns-Roses-ebook/dp/B015FELXQ0/ref=sr_1_37?keywords=romance+books&qid=1639629589&sr=8-37
A Court of Silver Flames (A Court of Thorns and Roses Book 4),$13.49,4.8 out of 5 stars,https://www.amazon.com/Court-Silver-Flames-Thorns-Roses-ebook/dp/B08CHNCDN5/ref=sr_1_38?keywords=romance+books&qid=1639629589&sr=8-38
A Court of Wings and Ruin (A Court of Thorns and Roses Book 3),$9.99,4.8 out of 5 stars,https://www.amazon.com/Court-Wings-Ruin-Thorns-Roses-ebook/dp/B01LOWN78Y/ref=sr_1_39?keywords=romance+books&qid=1639629589&sr=8-39
A Court of Thorns and Roses,$10.80,4.7 out of 5 stars,https://www.amazon.com/Court-Thorns-Roses-Sarah-Maas/dp/1635575567/ref=sr_1_40?keywords=romance+books&qid=1639629589&sr=8-40
