Book Name,Price,Rating,Link
Orconomics: A Satire (The Dark Profit Saga Book 1),$0.00,4.6 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A05489393IQDYW6ES0P9&url=%2FOrconomics-Satire-Dark-Profit-Saga-ebook%2Fdp%2FB00O2NDJ2M%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dsatire%2Bbooks%26qid%3D1639629620%26sr%3D8-1-spons%26psc%3D1&qualifier=1639629620&id=8942662418756688&widgetName=sp_atf
"Bad Days in History: A Gleefully Grim Chronicle of Misfortune, Mayhem, and Misery for Every Day of the Year",$12.79,4.5 out of 5 stars,https://www.amazon.com/Bad-Days-History-Gleefully-Misfortune/dp/1426218079/ref=sr_1_2?keywords=satire+books&qid=1639629620&sr=8-2
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,$14.79,4.7 out of 5 stars,https://www.amazon.com/What-If-Scientific-Hypothetical-Questions/dp/0544272994/ref=sr_1_3?keywords=satire+books&qid=1639629620&sr=8-3
How to Buy a Planet: Fun & fast-paced sci-fi comedy satire - 'Totally mesmerising' (Oxford Daily Info) (The Cleremont Conjectures Book 1),$0.00,4.1 out of 5 stars,https://www.amazon.com/How-Buy-Planet-classic-British-ebook/dp/B08G2PTP5N/ref=sr_1_4?keywords=satire+books&qid=1639629620&sr=8-4
Guac Is Extra But So Am I: The Reluctant Adult's Handbook,$13.49,4.8 out of 5 stars,https://www.amazon.com/Guac-Extra-But-So-Reluctant/dp/1576879135/ref=sr_1_5?keywords=satire+books&qid=1639629620&sr=8-5
Stuck Up!: 100 Objects Inserted and Ingested in Places They Shouldn’t Be,$12.81,4.4 out of 5 stars,https://www.amazon.com/Stuck-Up-Inserted-Ingested-Shouldnt/dp/0312680082/ref=sr_1_6?keywords=satire+books&qid=1639629620&sr=8-6
"Orconomics: A Satire: The Dark Profit Saga, Book 1",$0.00,4.6 out of 5 stars,https://www.amazon.com/Orconomics-Satire-J-Zachary-Pike-audiobook/dp/B01N5H85E0/ref=sr_1_7?keywords=satire+books&qid=1639629620&sr=8-7
Alphabetica: A Satire On Majoritarianism,$11.99,5.0 out of 5 stars,https://www.amazon.com/Alphabetica-Satire-Majoritarianism-Roy-Phoenix/dp/168494161X/ref=sr_1_8?keywords=satire+books&qid=1639629620&sr=8-8
Going There: Black Visual Satire (Richard D. Cohen Lectures on African & African American Art),$36.92,4.9 out of 5 stars,https://www.amazon.com/Going-There-Richard-Lectures-American/dp/0300245742/ref=sr_1_9?keywords=satire+books&qid=1639629620&sr=8-9
Do I Have Trump Derangement Syndrome?: A political satire book,$8.44,5.0 out of 5 stars,https://www.amazon.com/Have-Trump-Derangement-Syndrome-political/dp/B08CM6PCVX/ref=sr_1_10?keywords=satire+books&qid=1639629620&sr=8-10
The New Yorker Book of Teacher Cartoons,$21.99,4.6 out of 5 stars,https://www.amazon.com/New-Yorker-Book-Teacher-Cartoons/dp/1118342038/ref=sr_1_11?keywords=satire+books&qid=1639629620&sr=8-11
Bully Boys: A Satirical Reverse Harem Short Story,$0.99,4.0 out of 5 stars,https://www.amazon.com/Bully-Boys-Satirical-Reverse-Harem-ebook/dp/B07QWBH2CN/ref=sr_1_12?keywords=satire+books&qid=1639629620&sr=8-12
The Fatal Eggs and Other Soviet Satire,$11.99,4.6 out of 5 stars,https://www.amazon.com/Fatal-Eggs-Other-Soviet-Satire-ebook/dp/B005LPUB6W/ref=sr_1_13?keywords=satire+books&qid=1639629620&sr=8-13
Reasons to Vote for Democrats: A Comprehensive Guide,$9.89,4.8 out of 5 stars,https://www.amazon.com/Reasons-Vote-Democrats-Comprehensive-Guide/dp/1501180126/ref=sr_1_14?keywords=satire+books&qid=1639629620&sr=8-14
"How to Talk to Your Cat About Gun Safety: And Abstinence, Drugs, Satanism, and Other Dangers That Threaten Their Nine Lives",$8.38,4.7 out of 5 stars,https://www.amazon.com/How-Talk-Your-About-Safety/dp/045149492X/ref=sr_1_15?keywords=satire+books&qid=1639629620&sr=8-15
Animal Farm: 75th Anniversary Edition,$7.48,4.7 out of 5 stars,https://www.amazon.com/Animal-Farm-George-Orwell/dp/0451526341/ref=sr_1_16?keywords=satire+books&qid=1639629620&sr=8-16
The Complete Far Side,$89.99,4.9 out of 5 stars,https://www.amazon.com/Complete-Far-Side-Gary-Larson/dp/1449460046/ref=sr_1_17?keywords=satire+books&qid=1639629620&sr=8-17
Anxious People: A Novel,$13.12,4.4 out of 5 stars,https://www.amazon.com/Anxious-People-Novel-Fredrik-Backman/dp/1501160842/ref=sr_1_18?keywords=satire+books&qid=1639629620&sr=8-18
The Lake Wobegon Virus: A Novel,$15.79,4.5 out of 5 stars,https://www.amazon.com/Lake-Wobegon-Virus-Novel/dp/1951627679/ref=sr_1_19?keywords=satire+books&qid=1639629620&sr=8-19
Less (Winner of the Pulitzer Prize): A Novel,$10.92,4.0 out of 5 stars,https://www.amazon.com/Less-Winner-Pulitzer-Prize-Novel/dp/031631613X/ref=sr_1_20?keywords=satire+books&qid=1639629620&sr=8-20
Jane Eyre (Bantam Classics),$5.95,4.6 out of 5 stars,https://www.amazon.com/Jane-Bantam-Classics-Charlotte-Bronte/dp/0553211404/ref=sr_1_21?keywords=satire+books&qid=1639629620&sr=8-21
The Martian Chronicles,$7.99,4.6 out of 5 stars,https://www.amazon.com/Martian-Chronicles-Ray-Bradbury/dp/1451678193/ref=sr_1_22?keywords=satire+books&qid=1639629620&sr=8-22
There's a Hair in My Dirt! A Worm's Story,$14.99,4.7 out of 5 stars,https://www.amazon.com/Theres-Hair-Dirt-Worms-Story/dp/0060932740/ref=sr_1_23?keywords=satire+books&qid=1639629620&sr=8-23
"All My Friends Are Still Dead: (Funny Books, Children's Book for Adults, Interesting Finds)",$9.95,4.7 out of 5 stars,https://www.amazon.com/All-Friends-Are-Still-Dead/dp/1452106967/ref=sr_1_24?keywords=satire+books&qid=1639629620&sr=8-24
