Book Name,Price,Rating,Link
"The 5-Minute Gratitude Journal: Give Thanks, Practice Positivity, Find Joy",$10.79,4.7 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A00109661QUA7YZGG5JD1&url=%2F5-Minute-Gratitude-Journal-Practice-Positivity%2Fdp%2F1647397197%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dself%2Bhelp%2Bbooks%26qid%3D1639629609%26sr%3D8-1-spons%26psc%3D1&qualifier=1639629609&id=3978045201928356&widgetName=sp_atf
"Self-Love Workbook for Women: Release Self-Doubt, Build Self-Compassion, and Embrace Who You Are (Self-Help Workbooks for Women)",$9.59,4.7 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A03268331WJK65EGMCL62&url=%2FSelf-Love-Workbook-Women-Self-Doubt-Self-Compassion%2Fdp%2F1647397294%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dself%2Bhelp%2Bbooks%26qid%3D1639629609%26sr%3D8-2-spons%26psc%3D1&qualifier=1639629609&id=3978045201928356&widgetName=sp_atf
"Improve Your Conversations: Think on Your Feet, Witty Banter, and Always Know What to Say with Improv Comedy Techniques (2nd Edition) (How to be More Likable and Charismatic)",$13.99,4.5 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A04749652NH9NDK0FLGLV&url=%2FImprove-Your-Conversations-Techniques-Charismatic%2Fdp%2FB08RTPJM72%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dself%2Bhelp%2Bbooks%26qid%3D1639629609%26sr%3D8-3-spons%26psc%3D1&qualifier=1639629609&id=3978045201928356&widgetName=sp_atf
Bulletproof Confidence: The Art of Not Caring What People Think and Living Fearl,$12.99,4.3 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A04724452GGTHD8Q62OUX&url=%2FBulletproof-Confidence-Caring-People-Living%2Fdp%2F1974074609%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dself%2Bhelp%2Bbooks%26qid%3D1639629609%26sr%3D8-4-spons%26psc%3D1&qualifier=1639629609&id=3978045201928356&widgetName=sp_atf
The Mountain Is You: Transforming Self-Sabotage Into Self-Mastery,$16.19,4.8 out of 5 stars,https://www.amazon.com/Mountain-You-Transforming-Self-Sabotage-Self-Mastery/dp/1949759229/ref=sr_1_5?keywords=self+help+books&qid=1639629609&sr=8-5
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,$11.50,4.6 out of 5 stars,https://www.amazon.com/Subtle-Art-Not-Giving-Counterintuitive/dp/0062457713/ref=sr_1_6?keywords=self+help+books&qid=1639629609&sr=8-6
"THE SCIENCE OF SELF-CONTROL: 53 Tips to stick to your diet, be more productive and excel in life",$34.35,4.8 out of 5 stars,https://www.amazon.com/SCIENCE-SELF-CONTROL-stick-productive-excel/dp/B0991FG9SC/ref=sr_1_7?keywords=self+help+books&qid=1639629609&sr=8-7
"The Boy, the Mole, the Fox and the Horse",$0.00,4.8 out of 5 stars,https://www.amazon.com/Boy-Mole-Fox-Horse/dp/B08KFJBV6P/ref=sr_1_8?keywords=self+help+books&qid=1639629609&sr=8-8
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,$8.45,4.7 out of 5 stars,https://www.amazon.com/You-Are-Badass%C2%AE-Doubting-Greatness/dp/0762447699/ref=sr_1_9?keywords=self+help+books&qid=1639629609&sr=8-9
"Winning the War in Your Mind: Change Your Thinking, Change Your Life",$18.89,4.8 out of 5 stars,https://www.amazon.com/Winning-War-Your-Mind-Thinking/dp/0310362725/ref=sr_1_10?keywords=self+help+books&qid=1639629609&sr=8-10
Let That Sh*t Go: A Journal for Leaving Your Bullsh*t Behind and Creating a Happy Life (Zen as F*ck Journals),$8.99,4.7 out of 5 stars,https://www.amazon.com/Let-That-Sh-Go-Creating/dp/1250181909/ref=sr_1_11?keywords=self+help+books&qid=1639629609&sr=8-11
Can't Hurt Me: Master Your Mind and Defy the Odds,$0.00,4.8 out of 5 stars,https://www.amazon.com/Cant-Hurt-Me-David-Goggins-audiobook/dp/B07KKP62FW/ref=sr_1_12?keywords=self+help+books&qid=1639629609&sr=8-12
"EVERY DAY IS A FIELD TRIP: Escape routine, find fun, and live a more fulfilling life",$15.99,4.7 out of 5 stars,https://www.amazon.com/EVERY-DAY-FIELD-TRIP-fulfilling/dp/1736561812/ref=sr_1_13?keywords=self+help+books&qid=1639629609&sr=8-13
Rock Bottom is Where Bad Bitches Are Built: Find Your Footing; Conquer the Climb,$14.99,4.7 out of 5 stars,https://www.amazon.com/Rock-Bottom-Where-Bitches-Built/dp/1736516108/ref=sr_1_14?keywords=self+help+books&qid=1639629609&sr=8-14
"The Power of Self-Discipline: 5-Minute Exercises to Build Self-Control, Good Habits, and Keep Going When You Want to Give Up",$14.99,4.5 out of 5 stars,https://www.amazon.com/Power-Self-Discipline-5-Minute-Exercises-Self-Control/dp/B09796FYWH/ref=sr_1_15?keywords=self+help+books&qid=1639629609&sr=8-15
