Book Name,Price,Rating,Link
Chakra Healing: A Beginner's Guide to Self-Healing Techniques that Balance the Chakras,$9.59,4.8 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02173501Q3UC0WQVQ7HY&url=%2FChakra-Healing-Beginners-Self-Healing-Techniques%2Fdp%2F1623158281%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dspiritual%2Bbooks%26qid%3D1639629572%26sr%3D8-1-spons%26psc%3D1&qualifier=1639629572&id=3589971366900733&widgetName=sp_atf
Humility and the Elevation of the Mind to God,$18.00,4.3 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0449355138TFGKQT2EBA&url=%2FHumility-Elevation-Mind-Thomas-Kempis%2Fdp%2F1505122341%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dspiritual%2Bbooks%26qid%3D1639629572%26sr%3D8-2-spons%26psc%3D1&qualifier=1639629572&id=3589971366900733&widgetName=sp_atf
AKASHA: you were never alone,$9.99,,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0444717H5T4U70GNTQQ&url=%2FAKASHA-you-were-never-alone-ebook%2Fdp%2FB09JHY9MWQ%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dspiritual%2Bbooks%26qid%3D1639629572%26sr%3D8-3-spons%26psc%3D1&qualifier=1639629572&id=3589971366900733&widgetName=sp_atf
"First the Spirit: Right Alignment of Spirit, Soul, and Body",$0.00,4.7 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0233174M33Y7SSMVI99&url=%2FFirst-Spirit-Right-Alignment-Soul-ebook%2Fdp%2FB093YJFLHJ%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dspiritual%2Bbooks%26qid%3D1639629572%26sr%3D8-4-spons%26psc%3D1&qualifier=1639629572&id=3589971366900733&widgetName=sp_atf
You're Not Dying You're Just Waking Up,$13.21,4.9 out of 5 stars,https://www.amazon.com/Youre-Not-Dying-Just-Waking/dp/B091CFFX4Q/ref=sr_1_5?keywords=spiritual+books&qid=1639629572&sr=8-5
"Winning the War in Your Mind: Change Your Thinking, Change Your Life",$18.89,4.8 out of 5 stars,https://www.amazon.com/Winning-War-Your-Mind-Thinking/dp/0310362725/ref=sr_1_6?keywords=spiritual+books&qid=1639629572&sr=8-6
Signs: The Secret Language of the Universe,$13.19,4.7 out of 5 stars,https://www.amazon.com/Signs-Language-Laura-Lynne-Jackson/dp/0399591613/ref=sr_1_7?keywords=spiritual+books&qid=1639629572&sr=8-7
"Sacred Woman: A Guide to Healing the Feminine Body, Mind, and Spirit",$15.46,4.7 out of 5 stars,https://www.amazon.com/Sacred-Woman-Healing-Feminine-Spirit/dp/0345434862/ref=sr_1_8?keywords=spiritual+books&qid=1639629572&sr=8-8
Introduction to the Spiritual Life: Walking the Path of Prayer with Jesus,$22.99,4.9 out of 5 stars,https://www.amazon.com/Introduction-Spiritual-Life-Walking-Prayer/dp/0525572767/ref=sr_1_9?keywords=spiritual+books&qid=1639629572&sr=8-9
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),$5.77,4.7 out of 5 stars,https://www.amazon.com/Four-Agreements-Practical-Personal-Freedom/dp/1878424319/ref=sr_1_10?keywords=spiritual+books&qid=1639629572&sr=8-10
