Book Name,Price,Rating,Link
When The Grain Ran True: Memoirs of a Major League Bat Boy,$0.00,3.8 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A00258358K0DXRJOBC5J&url=%2FWhen-Grain-Ran-True-Memoirs-ebook%2Fdp%2FB07F6XTPL5%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dsports%2Bbooks%26qid%3D1639629625%26sr%3D8-1-spons%26psc%3D1&qualifier=1639629625&id=6304397816352048&widgetName=sp_atf
Baseball Biographies for Kids: The Greatest Players from the 1960s to Today (Biographies of Today’s Best Players),$11.69,4.8 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A00975428ZP89MYA22M3&url=%2FBaseball-Biographies-Kids-Greatest-Players%2Fdp%2F1641529334%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dsports%2Bbooks%26qid%3D1639629625%26sr%3D8-2-spons%26psc%3D1&qualifier=1639629625&id=6304397816352048&widgetName=sp_atf
The Baseball 100,$36.00,4.8 out of 5 stars,https://www.amazon.com/Baseball-100-Joe-Posnanski/dp/1982180587/ref=sr_1_3?keywords=sports+books&qid=1639629625&sr=8-3
Cloudbuster Nine: The Untold Story of Ted Williams and the Baseball Team That Helped Win World War II,$16.19,4.6 out of 5 stars,https://www.amazon.com/Cloudbuster-Nine-Untold-Williams-Baseball/dp/1683583620/ref=sr_1_4?keywords=sports+books&qid=1639629625&sr=8-4
The Big East: Inside the Most Entertaining and Influential Conference in College Basketball History,$23.99,4.2 out of 5 stars,https://www.amazon.com/Big-East-Entertaining-Influential-Conference/dp/0593237935/ref=sr_1_5?keywords=sports+books&qid=1639629625&sr=8-5
Scholastic Year in Sports 2021,$7.49,4.8 out of 5 stars,https://www.amazon.com/Scholastic-Year-Sports-James-Buckley/dp/1338654713/ref=sr_1_6?keywords=sports+books&qid=1639629625&sr=8-6
Dynasties: The 10 G.O.A.T. Teams That Changed the NBA Forever,$24.58,4.3 out of 5 stars,https://www.amazon.com/Dynasties-G-T-Changed-Forever/dp/0762496290/ref=sr_1_7?keywords=sports+books&qid=1639629625&sr=8-7
The Mamba Mentality: How I Play,$13.87,4.9 out of 5 stars,https://www.amazon.com/Mamba-Mentality-How-Play/dp/0374201234/ref=sr_1_8?keywords=sports+books&qid=1639629625&sr=8-8
Up and Down: Victories and Struggles in the Course of Life,$20.74,4.7 out of 5 stars,https://www.amazon.com/Up-Down-Victories-Struggles-Course/dp/0785292012/ref=sr_1_9?keywords=sports+books&qid=1639629625&sr=8-9
Heart and Steel,$19.37,4.8 out of 5 stars,https://www.amazon.com/Heart-Steel-Bill-Cowher/dp/1982175796/ref=sr_1_10?keywords=sports+books&qid=1639629625&sr=8-10
