Book Name,Price,Rating,Link
Her Last Breath: A Chilling Dark Suspense Thriller (Wolf Lake Thriller Book 1),$0.00,4.4 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A04940823TOJT2UZ9DRES&url=%2FHer-Last-Breath-Chilling-Psychological-ebook%2Fdp%2FB08M4CGT25%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dthriller%2Bbooks%26qid%3D1639629587%26sr%3D8-1-spons%26psc%3D1&qualifier=1639629587&id=345693849545667&widgetName=sp_atf
Ripple Effect: A Bear Logan Thriller (Bear Logan Thrillers Book 1),$0.00,4.3 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01289221UPIYKKGSMB0C&url=%2FRipple-Effect-Bear-Logan-Thrillers-ebook%2Fdp%2FB072M53H57%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dthriller%2Bbooks%26qid%3D1639629587%26sr%3D8-2-spons%26psc%3D1&qualifier=1639629587&id=345693849545667&widgetName=sp_atf
FAMILY BUSINESS: A Crime Thriller Novel,$0.00,4.2 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0418681NID4V3SEFLK5&url=%2FFAMILY-BUSINESS-Crime-Thriller-Novel-ebook%2Fdp%2FB08PNM8KTK%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dthriller%2Bbooks%26qid%3D1639629587%26sr%3D8-3-spons%26psc%3D1&qualifier=1639629587&id=345693849545667&widgetName=sp_atf
TA LĘ: Book 1: Knowledge,$14.00,3.8 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A03639773GDABJ46QXOZJ&url=%2FTA-L%25C4%2598-Book-1-Knowledge%2Fdp%2F1777559413%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dthriller%2Bbooks%26qid%3D1639629587%26sr%3D8-4-spons%26psc%3D1&qualifier=1639629587&id=345693849545667&widgetName=sp_atf
Billy Summers,$15.00,4.6 out of 5 stars,https://www.amazon.com/Billy-Summers-Stephen-King/dp/1982173610/ref=sr_1_5?keywords=thriller+books&qid=1639629587&sr=8-5
"If You Tell: A True Story of Murder, Family Secrets, and the Unbreakable Bond of Sisterhood",$0.00,4.4 out of 5 stars,https://www.amazon.com/If-You-Tell-Unbreakable-Sisterhood-ebook/dp/B07Q5TL9SQ/ref=sr_1_6?keywords=thriller+books&qid=1639629587&sr=8-6
The Family Across the Street: A totally unputdownable psychological thriller with a shocking twist,$3.99,4.3 out of 5 stars,https://www.amazon.com/Family-Across-Street-unputdownable-psychological-ebook/dp/B094JJ1KYT/ref=sr_1_7?keywords=thriller+books&qid=1639629587&sr=8-7
Then She Was Gone: A Novel,$8.52,4.6 out of 5 stars,https://www.amazon.com/Then-She-Was-Gone-Novel/dp/1501154656/ref=sr_1_8?keywords=thriller+books&qid=1639629587&sr=8-8
The Silent Patient,$12.99,4.5 out of 5 stars,https://www.amazon.com/Silent-Patient-Alex-Michaelides/dp/1250301696/ref=sr_1_9?keywords=thriller+books&qid=1639629587&sr=8-9
And So It Begins: A completely unputdownable psychological thriller with a gripping twist,$10.99,4.3 out of 5 stars,https://www.amazon.com/So-Begins-completely-unputdownable-psychological/dp/1800192045/ref=sr_1_10?keywords=thriller+books&qid=1639629587&sr=8-10
