Book Name,Price,Rating,Link
Ultimate USA Travel List 1,$20.62,5.0 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A006830326P1YKT145VR&url=%2FUltimate-Travel-List-Lonely-Planet%2Fdp%2F1838694587%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dtravel%2Bbooks%26qid%3D1639629606%26sr%3D8-1-spons%26psc%3D1&qualifier=1639629606&id=1429597014308906&widgetName=sp_atf
Travel Australia by Van: Two books in one - a PLANNER for before you go and a DIARY for while you’re there,$16.99,,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A05913051389DKKT7P62V&url=%2FTravel-Australia-Van-PLANNER-before%2Fdp%2F1674982968%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dtravel%2Bbooks%26qid%3D1639629606%26sr%3D8-2-spons%26psc%3D1&qualifier=1639629606&id=1429597014308906&widgetName=sp_atf
Unforgettable Journeys: Slow Down and See the World,$24.13,4.7 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02083013QQYCCLA04WZP&url=%2FUnforgettable-Journeys-Slow-Down-World%2Fdp%2F146549782X%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dtravel%2Bbooks%26qid%3D1639629606%26sr%3D8-3-spons%26psc%3D1&qualifier=1639629606&id=1429597014308906&widgetName=sp_atf
Fodor's Paris 2022 (Full-color Travel Guide),$16.99,4.3 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A03684161BKU5DB8Y835S&url=%2FFodors-Paris-Full-color-Travel-Guide%2Fdp%2F1640974113%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dtravel%2Bbooks%26qid%3D1639629606%26sr%3D8-4-spons%26psc%3D1&qualifier=1639629606&id=1429597014308906&widgetName=sp_atf
Destinations of a Lifetime: 225 of the World's Most Amazing Places,$22.49,4.8 out of 5 stars,https://www.amazon.com/Destinations-Lifetime-Worlds-Amazing-Places/dp/1426215649/ref=sr_1_5?keywords=travel+books&qid=1639629606&sr=8-5
The Travel Book: A Journey Through Every Country in the World (Lonely Planet Travel Guide),$37.99,3.0 out of 5 stars,https://www.amazon.com/Travel-Book-Lonely-Planet/dp/1838694595/ref=sr_1_6?keywords=travel+books&qid=1639629606&sr=8-6
"50 States, 5,000 Ideas: Where to Go, When to Go, What to See, What to Do",$13.06,4.6 out of 5 stars,https://www.amazon.com/50-States-000-Ideas-Where/dp/1426216904/ref=sr_1_7?keywords=travel+books&qid=1639629606&sr=8-7
"1,000 Perfect Weekends: Great Getaways Around the Globe",$31.30,4.6 out of 5 stars,https://www.amazon.com/000-Perfect-Weekends-Getaways-Around/dp/1426221452/ref=sr_1_8?keywords=travel+books&qid=1639629606&sr=8-8
The Travel Book: A Journey Through Every Country in the World (Lonely Planet),$26.99,4.8 out of 5 stars,https://www.amazon.com/Travel-Book-Journey-Through-Country/dp/178701763X/ref=sr_1_9?keywords=travel+books&qid=1639629606&sr=8-9
Lonely Planet's Where To Go When 1,$22.49,4.7 out of 5 stars,https://www.amazon.com/Lonely-Planets-Where-Go-When/dp/1786571935/ref=sr_1_10?keywords=travel+books&qid=1639629606&sr=8-10
