Book Name,Price,Rating,Link
Bred in the Bone: A Western Frontier Adventure (A Heck & Early Western Book 1),$0.00,4.2 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A00437533VT20DL0UL32Y&url=%2FBred-Bone-Western-Frontier-Adventure-ebook%2Fdp%2FB09F5YKTF2%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dwestern%2Bbooks%26qid%3D1639629589%26sr%3D8-1-spons%26psc%3D1&qualifier=1639629589&id=5909487847184319&widgetName=sp_atf
True Tales and Amazing Legends of the Old West: From True West Magazine,$17.96,4.7 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01278941LBDBZABPXQ86&url=%2FTrue-Tales-Amazing-Legends-West%2Fdp%2F0307236382%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dwestern%2Bbooks%26qid%3D1639629589%26sr%3D8-2-spons%26psc%3D1&qualifier=1639629589&id=5909487847184319&widgetName=sp_atf
To the River's End: A Thrilling Western Novel of the American Frontier,$7.82,4.5 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02748492WXP287IB1XL6&url=%2FRivers-End-Novel-American-Frontier-ebook%2Fdp%2FB08RWLZWBB%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dwestern%2Bbooks%26qid%3D1639629589%26sr%3D8-3-spons%26psc%3D1&qualifier=1639629589&id=5909487847184319&widgetName=sp_atf
War Wounds: A Marshall Family Western - Book 1,$0.00,4.3 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A036769437IDNVH41YRH1&url=%2FWar-Wounds-Marshall-Family-Western-ebook%2Fdp%2FB01NAECX78%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dwestern%2Bbooks%26qid%3D1639629589%26sr%3D8-4-spons%26psc%3D1&qualifier=1639629589&id=5909487847184319&widgetName=sp_atf
To the River's End: A Thrilling Western Novel of the American Frontier,$7.82,4.5 out of 5 stars,https://www.amazon.com/Rivers-End-Novel-American-Frontier-ebook/dp/B08RWLZWBB/ref=sr_1_5?keywords=western+books&qid=1639629589&sr=8-5
Texarkana (A Perley Gates Western Book 6),$6.40,4.4 out of 5 stars,https://www.amazon.com/Texarkana-Perley-Gates-Western-Book-ebook/dp/B092KH71X3/ref=sr_1_6?keywords=western+books&qid=1639629589&sr=8-6
True Tales and Amazing Legends of the Old West: From True West Magazine,$17.96,4.7 out of 5 stars,https://www.amazon.com/True-Tales-Amazing-Legends-West/dp/0307236382/ref=sr_1_7?keywords=western+books&qid=1639629589&sr=8-7
"Next to Last Stand: Walt Longmire Mysteries, Book 16",$0.00,4.6 out of 5 stars,https://www.amazon.com/Next-Last-Stand-Longmire-Mysteries/dp/B08CH1588N/ref=sr_1_8?keywords=western+books&qid=1639629589&sr=8-8
Bullets Don't Argue (A Perley Gates Western),$5.98,4.7 out of 5 stars,https://www.amazon.com/Bullets-Argue-Perley-Gates-Western/dp/0786043660/ref=sr_1_9?keywords=western+books&qid=1639629589&sr=8-9
Montana Territory (A John Hawk Western),$5.98,4.6 out of 5 stars,https://www.amazon.com/Montana-Territory-John-Hawk-Western/dp/0786045604/ref=sr_1_10?keywords=western+books&qid=1639629589&sr=8-10
A Death Valley Christmas,$8.99,4.7 out of 5 stars,https://www.amazon.com/Death-Valley-Christmas-William-Johnstone/dp/0786047313/ref=sr_1_11?keywords=western+books&qid=1639629589&sr=8-11
The Pioneers: The Heroic Story of the Settlers Who Brought the American Ideal West,$3.99,4.5 out of 5 stars,https://www.amazon.com/Pioneers-Heroic-Settlers-Brought-American-ebook/dp/B07MGS81WS/ref=sr_1_12?keywords=western+books&qid=1639629589&sr=8-12
"Texas Ranger: The Epic Life of Frank Hamer, the Man Who Killed Bonnie and Clyde",$17.99,4.7 out of 5 stars,https://www.amazon.com/Texas-Ranger-Frank-Killed-Bonnie/dp/1250131596/ref=sr_1_13?keywords=western+books&qid=1639629589&sr=8-13
By the Neck (A Stoneface Finnegan Western Book 1),$0.00,4.3 out of 5 stars,https://www.amazon.com/Neck-Stoneface-Finnegan-Western-Book-ebook/dp/B089N1Z77K/ref=sr_1_14?keywords=western+books&qid=1639629589&sr=8-14
Ridgeline: A Novel,$14.99,4.6 out of 5 stars,https://www.amazon.com/Ridgeline-Novel-Michael-Punke-ebook/dp/B08GJR81P3/ref=sr_1_15?keywords=western+books&qid=1639629589&sr=8-15
Tucker: A Novel,$6.99,4.7 out of 5 stars,https://www.amazon.com/Tucker-Novel-Louis-LAmour/dp/0553250221/ref=sr_1_16?keywords=western+books&qid=1639629589&sr=8-16
Thunder Over Lolo Pass,$7.99,4.6 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A01306943UFTNKERSXY0M&url=%2FThunder-Over-Lolo-Pass-Charles%2Fdp%2F045123295X%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dwestern%2Bbooks%26qid%3D1639629589%26sr%3D8-17-spons%26psc%3D1&qualifier=1639629589&id=5909487847184319&widgetName=sp_mtf
The Western Star: A Longmire Mystery,$10.99,4.6 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A05248849BGLFFUQR736&url=%2FWestern-Star-Longmire-Mystery%2Fdp%2F0143109138%2Fref%3Dsr_1_18_sspa%3Fkeywords%3Dwestern%2Bbooks%26qid%3D1639629589%26sr%3D8-18-spons%26psc%3D1&qualifier=1639629589&id=5909487847184319&widgetName=sp_mtf
The Trail,$7.99,4.3 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A05033521ZH3141TBJFHL&url=%2FTrail-Nathan-Wright%2Fdp%2FB09GJJ1QZG%2Fref%3Dsr_1_19_sspa%3Fkeywords%3Dwestern%2Bbooks%26qid%3D1639629589%26sr%3D8-19-spons%26psc%3D1&qualifier=1639629589&id=5909487847184319&widgetName=sp_mtf
The McCoys Before The Feud: A Western Novel,$13.29,4.4 out of 5 stars,https://www.amazon.com/McCoys-Before-Feud-Western-Novel/dp/1732514003/ref=sr_1_20?keywords=western+books&qid=1639629589&sr=8-20
Lonesome Dove: A Novel,$14.69,4.8 out of 5 stars,https://www.amazon.com/Lonesome-Dove-Novel-Larry-McMurtry/dp/1439195269/ref=sr_1_21?keywords=western+books&qid=1639629589&sr=8-21
"One for the Blackbird, One for the Crow: A Novel",$0.00,4.4 out of 5 stars,https://www.amazon.com/One-Blackbird-Crow-Novel-ebook/dp/B07GS96FVN/ref=sr_1_22?keywords=western+books&qid=1639629589&sr=8-22
Bad River,$7.99,4.5 out of 5 stars,https://www.amazon.com/Bad-River-Ralph-Cotton-ebook/dp/B08Z3JGPK6/ref=sr_1_23?keywords=western+books&qid=1639629589&sr=8-23
Slaughter of the Mountain Man,$6.99,4.6 out of 5 stars,https://www.amazon.com/Slaughter-Mountain-Man-William-Johnstone-ebook/dp/B08Y69YMR2/ref=sr_1_24?keywords=western+books&qid=1639629589&sr=8-24
Red River Vengeance (A Perley Gates Western Book 5),$0.00,4.6 out of 5 stars,https://www.amazon.com/River-Vengeance-Perley-Gates-Western-ebook/dp/B08GY3KKGP/ref=sr_1_25?keywords=western+books&qid=1639629589&sr=8-25
The Trail,$0.00,4.3 out of 5 stars,https://www.amazon.com/Trail-Nathan-Wright-ebook/dp/B09GG7ZNYV/ref=sr_1_26?keywords=western+books&qid=1639629589&sr=8-26
Land of Wolves: A Longmire Mystery,$12.00,4.7 out of 5 stars,https://www.amazon.com/Land-Wolves-Longmire-Craig-Johnson/dp/0525522522/ref=sr_1_27?keywords=western+books&qid=1639629589&sr=8-27
Where the Lost Wander: A Novel,$10.99,4.6 out of 5 stars,https://www.amazon.com/Where-Lost-Wander-Amy-Harmon/dp/1542017963/ref=sr_1_28?keywords=western+books&qid=1639629589&sr=8-28
"Barbed Wire, Windmills, & Sixguns: A Book of Trivia, Fact, and Folklore About Westerns & The American West",$34.95,4.8 out of 5 stars,https://www.amazon.com/Barbed-Wire-Windmills-Sixguns-Folklore/dp/0965434117/ref=sr_1_29?keywords=western+books&qid=1639629589&sr=8-29
"Tombstone: The Earp Brothers, Doc Holliday, and the Vendetta Ride from Hell",$14.24,4.7 out of 5 stars,https://www.amazon.com/Tombstone-Earp-Brothers-Holliday-Vendetta/dp/1250214580/ref=sr_1_30?keywords=western+books&qid=1639629589&sr=8-30
"The Western Front: A History of the Great War, 1914-1918",$17.99,4.5 out of 5 stars,https://www.amazon.com/Western-Front-History-Great-1914-1918/dp/1631497944/ref=sr_1_31?keywords=western+books&qid=1639629589&sr=8-31
A Man Called Sunday,$5.98,4.5 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A01298021ZA1WE66H8UT8&url=%2FMan-Called-Sunday-Charles-West%2Fdp%2F0451237161%2Fref%3Dsr_1_32_sspa%3Fkeywords%3Dwestern%2Bbooks%26qid%3D1639629589%26sr%3D8-32-spons%26psc%3D1&qualifier=1639629589&id=5909487847184319&widgetName=sp_mtf
Land of Wolves: A Longmire Mystery,$12.00,4.7 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A052537639XDTF7EBZO5V&url=%2FLand-Wolves-Longmire-Craig-Johnson%2Fdp%2F0525522522%2Fref%3Dsr_1_33_sspa%3Fkeywords%3Dwestern%2Bbooks%26qid%3D1639629589%26sr%3D8-33-spons%26psc%3D1&qualifier=1639629589&id=5909487847184319&widgetName=sp_mtf
Ralph Compton Riders of Judgment (A Rough Justice Western),$5.98,4.6 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A01274381GGWSJFXKEXN&url=%2FRiders-Judgment-Ralph-Compton-Western%2Fdp%2F0451202147%2Fref%3Dsr_1_34_sspa%3Fkeywords%3Dwestern%2Bbooks%26qid%3D1639629589%26sr%3D8-34-spons%26psc%3D1&qualifier=1639629589&id=5909487847184319&widgetName=sp_mtf
Undeterred: (A Carsten McNeil Western Adventure - Book 1),$0.00,3.5 out of 5 stars,https://www.amazon.com/Undeterred-Carsten-McNeil-Western-Adventure-ebook/dp/B09NGSDS61/ref=sr_1_35?keywords=western+books&qid=1639629589&sr=8-35
Blood and Thunder: The Epic Story of Kit Carson and the Conquest of the American West,$12.79,4.7 out of 5 stars,https://www.amazon.com/Blood-Thunder-Carson-Conquest-American/dp/1400031109/ref=sr_1_36?keywords=western+books&qid=1639629589&sr=8-36
Daughter of the Morning Star A Longmire Mystery,$20.00,4.7 out of 5 stars,https://www.amazon.com/Daughter-Morning-Star-Longmire-Mystery/dp/0593297253/ref=sr_1_37?keywords=western+books&qid=1639629589&sr=8-37
Unwanted,$0.00,4.5 out of 5 stars,https://www.amazon.com/Unwanted-C-J-Petit-ebook/dp/B09KCL7C13/ref=sr_1_38?keywords=western+books&qid=1639629589&sr=8-38
The Power of the Dog: A Novel,$9.99,4.5 out of 5 stars,https://www.amazon.com/Power-Dog-Novel-Thomas-Savage-ebook/dp/B004ZGZBWC/ref=sr_1_39?keywords=western+books&qid=1639629589&sr=8-39
Reunion (Joe Beck Book 2),$0.00,4.5 out of 5 stars,https://www.amazon.com/Reunion-Joe-Beck-Book-2-ebook/dp/B09ML3F8MP/ref=sr_1_40?keywords=western+books&qid=1639629589&sr=8-40
Christmas Triad: A Holiday Military Reverse Harem Romance,$0.00,4.4 out of 5 stars,https://www.amazon.com/Christmas-Triad-Holiday-Military-Reverse-ebook/dp/B09KZPWTGN/ref=sr_1_41?keywords=western+books&qid=1639629589&sr=8-41
THE MISSION: One-Hundred-Eleventh in a Series of Jess Williams Westerns (A Jess Williams Western Book 111),$3.99,4.7 out of 5 stars,https://www.amazon.com/MISSION-One-Hundred-Eleventh-Williams-Westerns-Western-ebook/dp/B09NK48K44/ref=sr_1_42?keywords=western+books&qid=1639629589&sr=8-42
Hunter's Moon (A Hunter Buchanon Black Hills Western),$6.74,4.5 out of 5 stars,https://www.amazon.com/Hunters-Hunter-Buchanon-Black-Western/dp/0786048662/ref=sr_1_43?keywords=western+books&qid=1639629589&sr=8-43
